#대상	JP	KO
# 대상: BIN = 실행 파일(/0_OP.BIN·/1_SRPG.BIN·/2_SRPGED.BIN)에서 «그 문자열 통째» 가 나오는 모든 자리 · /파일@오프셋 = 그 자리 하나 · SKILL = 기술표(22바이트 필드)
# 예산 = 원문 바이트 수(한글 2 · ASCII 1 · 전각 부호 2). 문장부호 뒤 공백은 빌더가 지운다.
BIN	攻撃力	공격력
BIN	防御力	방어력
BIN	行動力	행동력
BIN	速さ	속도
BIN	運のよさ	행운
BIN	登坂レベル	등반 레벨
BIN	必殺率	필살률
BIN	命中率	명중률
BIN	賢さ	지혜
BIN	抗魔力	항마력
BIN	装備	장비
BIN	装備を変更すると行動終了します。よろしいですか？	장비를 바꾸면 행동이 끝납니다.괜찮습니까?
BIN	アイテムがいっぱいです。捨てますか？	아이템이 가득 찼습니다.버릴까요?
BIN	:攻撃力+   %	:공격력+   %
BIN	回復力	회복력
BIN	:賢さ+	:지혜+
BIN	必要行動力:	필요행동력:
BIN	必要MP:	필요MP:
BIN	射程(　):	사정(　):
BIN	術	술
BIN	単	단
BIN	全	전
BIN	円	원
BIN	直	직
BIN	自	자
BIN	扇	선
BIN	弧	호
BIN	技選択	기술
BIN	キャラクターのレベルが低いため装備できません	캐릭터 레벨이 낮아 장비할 수 없습니다
BIN	剣の技	검술
BIN	忍道	인도
BIN	体術	체술
BIN	槍の技	창술
BIN	槌の技	망치술
BIN	弓の技	궁술
BIN	竜の技	용술
BIN	防御の技	방어술
BIN	盗みの技	도둑술
BIN	攻撃魔法	공격마법
BIN	神聖魔法	신성마법
BIN	ステータス	스테이터스
BIN	特殊魔法	특수마법
BIN	特殊技	특수기
BIN	魔法剣技	마법검술
BIN	ステータス<＞>	스테이터스<＞>
BIN	 スキル	 스킬
BIN	<＜>スキル	<＜>스킬
BIN	スキル	스킬
BIN	弱点:	약점:
BIN	飛	비
BIN	透	투
BIN	眠	면
BIN	恐	공
BIN	凍	동
BIN	痺	마
BIN	乱	란
BIN	操	조
BIN	大	대
BIN	小	소
BIN	昇	승
BIN	低	저
BIN	幸運	행운
BIN	登坂	등반
BIN	水上	수상
BIN	回避率　     ％	회피율　     ％
BIN	必殺率　     ％	필살률　     ％
BIN	技Lv   技Exp     /	기Lv   기Exp     /
BIN	精神魔法に弱い	정신마법 약함
BIN	少し、魔法に弱い	마법에 조금 약함
BIN	ダーク系の魔法に弱い	암흑 마법에 약함
BIN	なし	없음
BIN	槍に弱い	창 약함
BIN	魔法全般に弱い	마법 전반 약함
BIN	弓に弱い	활 약함
BIN	弓、槍に弱い	활,창 약함
BIN	打撃系の攻撃に弱い	타격 공격에 약함
BIN	水の魔法に弱い	물 마법에 약함
BIN	 ステータス説明<＞>	 스테이터스설명<＞>
BIN	<＜>　スキル説明	<＜>　스킬 설명
BIN	初期状態にもどす	초기 설정으로
BIN	操作説明	조작설명
BIN	バトルアニメ	전투 애니메
BIN	メッセージ速度	메시지 속도
BIN	オーディオ設定	오디오 설정
BIN	ＢＧＭテスト	ＢＧＭ테스트
BIN	ＳＥ設定	ＳＥ설정
BIN	ＳＥテスト	ＳＥ테스트
BIN	グリッド表示	그리드 표시
BIN	コントロール設定	컨트롤 설정
BIN	ウインドウカラー	창 색상
BIN	セーブ	세이브
BIN	オプション	옵션
BIN	－－無効－－	－－무효－－
BIN	　　決定　　	　　결정
BIN	 キャンセル 	    취소
BIN	 順送り選択 	 다음 선택
BIN	 逆送り選択 	 이전 선택
BIN	 上視点切替 	 위시점전환
