#번호	종류	자리수	예산	예시위치	JP	KO
0	data	1	21	/1_SRPG.BIN@543892	ｽﾄﾗｲｸ	스트라이크
1	data	1	21	/1_SRPG.BIN@543944	ｱﾄﾞｽﾄﾗｲｸ	애드스트라이크
2	data	1	21	/1_SRPG.BIN@543996	ﾊｰﾄﾞｸﾗｯｼｭ	하드크래시
3	data	1	21	/1_SRPG.BIN@544048	ｸﾗｯｼｭ	크래시
4	data	1	21	/1_SRPG.BIN@544152	ﾍﾋﾞｰｽﾄﾗｲｸ	헤비스트라이크
5	data	1	21	/1_SRPG.BIN@544204	ﾊﾞｽﾀｸﾗｯｼｭ	버스터크래시
6	data	1	21	/1_SRPG.BIN@544256	ﾒｶﾞｽﾗｯｼｭ	메가슬래시
7	data	1	21	/1_SRPG.BIN@544308	剣の舞い	검의 춤
8	data	1	21	/1_SRPG.BIN@544412	ﾎｰﾘｰｿｰﾄﾞ	홀리소드
9	data	1	21	/1_SRPG.BIN@544464	ﾌﾚｲﾑｿｰﾄﾞ	플레임소드
10	data	1	21	/1_SRPG.BIN@544516	ｱｲｽｿｰﾄﾞ	아이스소드
11	data	1	21	/1_SRPG.BIN@544568	ﾄﾞﾚｲﾝｿｰﾄﾞ	드레인소드
12	data	1	21	/1_SRPG.BIN@544620	ﾌﾟﾗｽﾞﾏｿｰﾄﾞ	플라즈마소드
13	data	1	21	/1_SRPG.BIN@544672	ｿｳﾙｷﾙｿｰﾄﾞ	소울킬소드
14	data	1	21	/1_SRPG.BIN@544880	斬る	베기
15	data	1	21	/1_SRPG.BIN@544932	居合い	발도
16	data	1	21	/1_SRPG.BIN@544984	円空斬	원공참
17	data	1	21	/1_SRPG.BIN@545036	稲妻斬り	번개베기
18	data	1	21	/1_SRPG.BIN@545088	流影斬	유영참
19	data	1	21	/1_SRPG.BIN@545140	御霊返し	영혼환원
20	data	1	21	/1_SRPG.BIN@545192	烈風斬	열풍참
21	data	1	21	/1_SRPG.BIN@545244	空裂斬	공열참
22	data	1	21	/1_SRPG.BIN@545296	鳳凰剣	봉황검
23	data	1	21	/1_SRPG.BIN@545400	影縫い	그림자꿰기
24	data	1	21	/1_SRPG.BIN@545452	手裏剣	수리검
25	data	1	21	/1_SRPG.BIN@545504	いづな落し	이즈나떨구기
26	data	1	21	/1_SRPG.BIN@545556	忍舞い	인무
27	data	1	21	/1_SRPG.BIN@545608	遠当て術	원거리타격
28	data	1	21	/1_SRPG.BIN@545660	卍手裏剣	만자수리검
29	data	1	21	/1_SRPG.BIN@545712	ボツ！変移抜刀	폐기!변이발도
30	data	1	21	/1_SRPG.BIN@545764	卍忍舞い	만자인무
31	data	1	21	/1_SRPG.BIN@546336	打拳	타권
32	data	1	21	/1_SRPG.BIN@546388	連脚	연각
33	data	1	21	/1_SRPG.BIN@546440	ｺﾝﾋﾞﾈｰｼｮﾝ	콤비네이션
34	data	1	21	/1_SRPG.BIN@546492	ﾊｰﾄﾞﾊﾟﾝﾁ	하드펀치
35	data	1	21	/1_SRPG.BIN@546544	投げ	메치기
36	data	1	21	/1_SRPG.BIN@546596	ｼﾞｬﾝﾌﾟ	점프
37	data	1	21	/1_SRPG.BIN@546700	旋風脚	선풍각
38	data	1	21	/1_SRPG.BIN@546752	ﾄｰﾈｲﾄﾞﾊﾟﾝﾁ	토네이도펀치
39	data	1	21	/1_SRPG.BIN@546804	ﾍﾞｱﾊｯｸﾞ	베어허그
40	data	1	21	/1_SRPG.BIN@546856	斬岩脚	참암각
41	data	1	21	/1_SRPG.BIN@546908	地裂拳	지열권
42	data	1	21	/1_SRPG.BIN@546960	山嵐(投げ)	산폭풍(메치기)
43	data	1	21	/1_SRPG.BIN@547012	百裂拳	백열권
44	data	1	21	/1_SRPG.BIN@547064	ﾊﾘｹｰﾝﾊﾟﾝﾁ	허리케인펀치
45	data	1	21	/1_SRPG.BIN@547116	殴る	후려치기
46	data	1	21	/1_SRPG.BIN@547168	体当たり	몸통박치기
47	data	1	21	/1_SRPG.BIN@547220	ｷﾙｸﾛｰ	킬클로
48	data	1	21	/1_SRPG.BIN@547272	ｷﾗｰﾌｧﾝｸﾞ	킬러팽
49	data	1	21	/1_SRPG.BIN@547324	ﾃﾞｽｸﾗｯｼｬｰ	데스크래셔
50	data	1	21	/1_SRPG.BIN@547376	暗黒舞踏	암흑무도
51	data	1	21	/1_SRPG.BIN@547428	ﾜｲﾙﾄﾞﾊﾟﾝﾁ	와일드펀치
52	data	1	21	/1_SRPG.BIN@547480	ﾅｯﾂｽﾛｰ	너츠스로
53	data	1	21	/1_SRPG.BIN@547584	刺槍	자창
54	data	1	21	/1_SRPG.BIN@547636	痛刺槍	통자창
55	data	1	21	/1_SRPG.BIN@547688	槍風車	창풍차
56	data	1	21	/1_SRPG.BIN@547740	轟斬槍風車	굉참창풍차
57	data	1	21	/1_SRPG.BIN@547792	轟刺槍	굉자창
58	data	1	21	/1_SRPG.BIN@547844	流星閃光槍	유성섬광창
59	data	1	21	/1_SRPG.BIN@547896	爆裂槍風車	폭렬창풍차
60	data	1	21	/1_SRPG.BIN@548104	ﾊﾝﾏｽﾄﾗｲｸ	해머스트라이크
61	data	1	21	/1_SRPG.BIN@548156	ｽﾋﾟﾝﾊﾝﾏｰ	스핀해머
62	data	1	21	/1_SRPG.BIN@548208	ﾊﾝﾏｰﾌﾞﾚｲｸ	해머브레이크
63	data	1	21	/1_SRPG.BIN@548260	ｸｴｲｸﾊﾝﾏｰ	퀘이크해머
64	data	1	21	/1_SRPG.BIN@548312	ﾊﾝﾏｰﾎﾞﾑ	해머봄
65	data	1	21	/1_SRPG.BIN@548520	ｱﾛｰｼｮｯﾄ	애로우샷
66	data	1	21	/1_SRPG.BIN@548572	ｽﾊﾟｲﾗﾙｱﾛｰ	스파이럴애로우
67	data	1	21	/1_SRPG.BIN@548624	ﾏﾙﾁｼｮｯﾄ	멀티샷
68	data	1	21	/1_SRPG.BIN@548676	ﾛﾝｸﾞｼｮｯﾄ 	롱샷
69	data	1	21	/1_SRPG.BIN@548728	ｲﾅｽﾞﾏｼｮｯﾄ	번개샷
70	data	1	21	/1_SRPG.BIN@548780	ﾏﾙﾁﾛｰﾘﾝｸﾞ	멀티롤링
