#번호	종류	자리수	예산	예시위치	JP	KO
0	msg	1	76	/AWRD.ADV@44	宿敵ゲンユウサイはもう目の前です。準備をととのえて城の攻略にのぞみましょう。	숙적 겐유사이가 바로 눈앞에 있습니다. 준비를 갖추고 성 공략에 나섭시다.
1	msg	3	73	/BT00.ADV@44	勝負は２０ターン以内につけなければなりません。\n気をぬかずに戦いましょう。	승부는 20턴 안에 내야 합니다.\n방심하지 말고 싸웁시다.
2	msg	1	97	/DB00.ADV@44	この町には、ウデにおぼえのある冒険者が集まる試練の迷宮があります。\nあなた方もいどんでみませんか？	이 마을에는 실력 있는 모험가가 모이는 시련의 미궁이 있습니다.\n여러분도 도전해 보지 않겠습니까?
3	msg	9	87	/DB10.ADV@44	これは、本来のあなた方の冒険の目的とは関わりのないものです。\n私もあえて助言はしません。	이것은 여러분의 본래 모험 목적과는 관계없는 일입니다.\n저도 굳이 조언하지 않겠습니다.
4	msg	1	65	/DC00.ADV@44	敵の大物は、城の上階にいるようです。\nまずは２階をめざしましょう。	적의 거물은 성 위층에 있는 듯합니다.\n우선 2층을 목표로 합시다.
5	msg	3	85	/DC0B.ADV@52	つらいでしょうが、いまは耐えるのです。\nそれから、城の兵士には、くれぐれも気をつけて。	괴롭겠지만 지금은 참아야 합니다.\n그리고 성의 병사들을 부디 조심하세요.
6	msg	3	85	/DC0B.ADV@140	看守のすきをついて仲間を助け出せませんか？\n辺りの様子をよく調べてみるといいでしょう。	간수의 틈을 노려 동료를 구할 수 없을까요?\n주변을 잘 조사해 보면 좋을 겁니다.
7	msg	3	59	/DC0B.ADV@228	もう迷う必要はないでしょう。\n後は牢のカギを開けるだけです。	이제 망설일 필요는 없겠지요.\n이제 감옥 문만 열면 됩니다.
8	msg	1	72	/DC10.ADV@44	敵の大物は、城の上階にいるようです。北東の階段から２階に向かいましょう。	적의 거물은 성의 위층에 있는 듯합니다. 북동쪽 계단으로 2층에 올라갑시다.
9	msg	1	68	/DC2C.ADV@44	敵のボスを倒せば、このドラグーン城を取りもどすことができるでしょう。	적의 보스를 쓰러뜨리면 이 드래군성을 되찾을 수 있을 겁니다.
