#번호	종류	자리수	예산	예시위치	JP	KO
0	ui	1	6	/0_OP.BIN@170478	tlR萵l	
1	ui	1	12	/0_OP.BIN@170814	ｱhtitle2.mat	
2	ui	2	12	/0_OP.BIN@170832	ＹＥＳ／ＮＯ	
3	ui	6	6	/0_OP.BIN@170848	ＹＥＳ	
4	ui	7	4	/0_OP.BIN@170856	ＮＯ	
5	ui	1	52	/0_OP.BIN@170864	本体ＲＡＭのバックアップの準備がまだできていません。	본체ＲＡＭ　백업　준비가　아직　되지　않았습니다.
6	ui	1	34	/0_OP.BIN@170920	本体ＲＡＭの全ての記録を消します。	본체ＲＡＭ　기록을　모두　지웁니다
7	ui	1	24	/0_OP.BIN@170956	　　よろしいですか？　　	　　괜찮습니까?
8	ui	1	36	/0_OP.BIN@170984	初期化中です。しばらくお待ち下さい。	초기화　중.잠시　기다려　주세요.
9	ui	1	119	/0_OP.BIN@171024	本体ＲＡＭの全ての記録を消すことができませんでした。\nセガサターン本体の保存データ管理画面で全ての記録を消してください。	본체ＲＡＭ의 모든 기록을 지울 수 없었습니다.\n세가새턴 본체의 저장 데이터 관리 화면에서 모든 기록을 지워 주세요.
10	ui	1	36	/0_OP.BIN@171144	本体ＲＡＭの全ての記録を消しました。	본체ＲＡＭ　기록을　모두　지웠습니다
11	ui	1	106	/0_OP.BIN@171184	ＬボタンまたはＲボタンを押したままリセットボタンを押すと、セガサターン本体の保存データ管理画面へ進みます。	Ｌ버튼 또는 Ｒ버튼을 누른 채 리셋 버튼을 누르면 세가새턴 본체의 저장 데이터 관리 화면으로 갑니다.
12	ui	1	60	/0_OP.BIN@171292	カートリッジＲＡＭのバックアップの準備がまだできていません。	카트리지ＲＡＭ　백업　준비가　아직　되지　않았습니다.
13	ui	1	42	/0_OP.BIN@171356	カートリッジＲＡＭの全ての記録を消します。	카트리지ＲＡＭ의　모든　기록을　지웁니다.
14	ui	1	127	/0_OP.BIN@171400	カートリッジＲＡＭの全ての記録を消すことができませんでした。\nセガサターン本体の保存データ管理画面で全ての記録を消してください。	카트리지ＲＡＭ의 모든 기록을 지울 수 없었습니다.\n세가새턴 본체의 저장 데이터 관리 화면에서 모든 기록을 지워 주세요.
15	ui	1	44	/0_OP.BIN@171528	カートリッジＲＡＭの全ての記録を消しました。	카트리지ＲＡＭ의　모든　기록을　지웠습니다.
16	ui	1	333	/0_OP.BIN@171576	新しい記録を保存するための空き容量がありません。\nこのままゲームをスタートした場合、前の記録を消さない限り新しい記録を保存することはできません。\n新しい記録を保存するためには１１５の空き容量が必要です。\nセガサターン本体の保存データ管理画面で他のゲームの記録を消すか、またはカートリッジＲＡＭにコピーして、ゲームを再スタートして下さい。	새 기록을 저장할 여유 용량이 없습니다.\n이대로 게임을 시작하면 이전 기록을 지우지 않는 한 새 기록을 저장할 수 없습니다.\n새 기록을 저장하려면 １１５의 여유 용량이 필요합니다.\n세가새턴 본체의 저장 데이터 관리 화면에서 다른 게임의 기록을 지우거나 카트리지ＲＡＭ에 복사한 뒤 게임을 다시 시작해 주세요.
17	ui	1	94	/0_OP.BIN@171912	ＬボタンまたはＲボタンを押しながら、リセットボタンを押すと、保存データ管理画面が表示されます。	Ｌ버튼 또는 Ｒ버튼을 누른 채 리셋 버튼을 누르면 저장 데이터 관리 화면이 표시됩니다.
18	ui	2	4	/0_OP.BIN@172068	ＬＶ	
19	ui	2	14	/0_OP.BIN@172076	　　　　：　　	
20	ui	2	14	/0_OP.BIN@172092	　　－－：－－	
21	ui	2	10	/0_OP.BIN@172108	データなし	기록　없음
22	ui	3	4	/0_OP.BIN@172120	<＜>	
23	ui	2	14	/0_OP.BIN@172128	［本体ＲＡＭ］	［본체ＲＡＭ］
24	ui	2	22	/0_OP.BIN@172144	［カートリッジＲＡＭ］	［카트리지ＲＡＭ］
25	ui	4	4	/0_OP.BIN@172168	<＞>	
26	ui	5	2	/0_OP.BIN@172256	０	
27	ui	6	2	/0_OP.BIN@172260	１	
28	ui	8	2	/0_OP.BIN@172264	２	
29	ui	6	2	/0_OP.BIN@172268	３	
30	ui	6	2	/0_OP.BIN@172272	４	
31	ui	6	2	/0_OP.BIN@172276	５	
32	ui	6	2	/0_OP.BIN@172280	６	
33	ui	6	2	/0_OP.BIN@172284	７	
34	ui	8	2	/0_OP.BIN@172288	８	
35	ui	6	2	/0_OP.BIN@172292	９	
36	ui	3	2	/0_OP.BIN@172296	剣	검
37	ui	3	2	/0_OP.BIN@172300	刀	도
38	ui	3	2	/0_OP.BIN@172304	槍	창
39	ui	3	2	/0_OP.BIN@172308	槌	망
40	ui	3	2	/0_OP.BIN@172312	弓	활
41	ui	3	2	/0_OP.BIN@172316	兜	투
42	ui	3	2	/0_OP.BIN@172320	鎧	갑
43	ui	3	2	/0_OP.BIN@172324	盾	방
44	ui	3	2	/0_OP.BIN@172328	飾	장
45	ui	2	2	/0_OP.BIN@172332	＜	
46	ui	2	2	/0_OP.BIN@172336	＞	
47	ui	2	12	/0_OP.BIN@172340	見つからない	찾지　못함
48	ui	1	5	/0_OP.BIN@172353	itl０	
49	ui	1	2	/0_OP.BIN@172396	Ａ	
50	ui	1	2	/0_OP.BIN@172400	Ｂ	
51	ui	1	2	/0_OP.BIN@172404	Ｃ	
52	ui	1	2	/0_OP.BIN@172408	Ｄ	
53	ui	1	2	/0_OP.BIN@172412	Ｅ	
54	ui	1	2	/0_OP.BIN@172416	Ｆ	
55	ui	1	2	/0_OP.BIN@172420	－	
56	ui	1	1	/0_OP.BIN@172535	ｵ	
57	ui	2	2	/0_OP.BIN@172538	痞	
58	ui	2	2	/0_OP.BIN@172546	痊	
59	ui	2	2	/0_OP.BIN@172550	疳	
60	ui	2	2	/0_OP.BIN@172554	畫	
61	ui	2	2	/0_OP.BIN@172558	瓠	
62	ui	42	1	/0_OP.BIN@172562	ﾀ	
63	ui	8	2	/0_OP.BIN@172574	痾	
64	ui	2	32	/0_OP.BIN@172672	クィーンズランド国ワールドマップ	퀸즈랜드국　월드맵
65	ui	2	26	/0_OP.BIN@172716	ドラグーン国ワールドマップ	드래군국　월드맵
66	ui	2	22	/0_OP.BIN@172752	ミディ国ワールドマップ	미디국　월드맵
67	ui	2	24	/0_OP.BIN@172784	ロッサム国ワールドマップ	로삼국　월드맵
68	ui	2	4	/0_OP.BIN@172836	海上	해상
69	ui	2	20	/0_OP.BIN@172860	異世界ワールドマップ	이세계　월드맵
70	ui	2	8	/0_OP.BIN@172900	戦霊の森	전령의숲
71	ui	2	20	/0_OP.BIN@172928	ドラグーン城地下１階	드래군성　지하1층
72	ui	2	16	/0_OP.BIN@172960	ドラグーン城１階	드래군성　1층
73	ui	2	16	/0_OP.BIN@172988	ドラグーン城２階	드래군성　2층
74	ui	2	10	/0_OP.BIN@173048	ザルマの都	자르마도성
75	ui	2	8	/0_OP.BIN@173084	サモサ島	사모사섬
76	ui	2	10	/0_OP.BIN@173104	ジャングル	정글
77	ui	2	18	/0_OP.BIN@173124	ガルーダ号係留地点	가루다호　정박지
78	ui	2	12	/0_OP.BIN@173160	邪教の館１階	사교의관1층
79	ui	2	16	/0_OP.BIN@173184	邪教の館地下１階	사교관　지하1층
80	ui	2	16	/0_OP.BIN@173212	邪教の館地下２階	사교관　지하2층
81	ui	2	12	/0_OP.BIN@173240	ナティスの村	나티스　마을
82	ui	2	12	/0_OP.BIN@173264	港町オルトマ	항구오르트마
83	ui	2	8	/0_OP.BIN@173304	古戦場跡	옛　전장
84	ui	2	8	/0_OP.BIN@173324	迷いの森	미혹의숲
85	ui	2	10	/0_OP.BIN@173344	森のはずれ	숲　변두리
86	ui	2	32	/0_OP.BIN@173364	クィーンズランド・パレス地下１階	퀸즈랜드　궁전　지하1층
87	ui	2	28	/0_OP.BIN@173416	クィーンズランド・パレス１階	퀸즈랜드　궁전　1층
88	ui	2	28	/0_OP.BIN@173472	クィーンズランド・パレス２階	퀸즈랜드　궁전　2층
89	ui	2	22	/0_OP.BIN@173512	クィーンズ・パレス２階	퀸즈　궁전　2층
90	ui	2	22	/0_OP.BIN@173544	クィーンズ・ノーズ山麓	퀸즈노즈　산기슭
91	ui	2	22	/0_OP.BIN@173576	クィーンズ・ノーズ山頂	퀸즈노즈　산꼭대기
92	ui	2	32	/0_OP.BIN@173608	クィーンズ・リップス川周辺警備網	퀸즈립스　강　주변　경비망
93	ui	2	30	/0_OP.BIN@173652	クィーンズ・リップス川のほとり	퀸즈립스　강가
94	ui	2	32	/0_OP.BIN@173692	クィーンズ・ヒールの洞窟地下１階	퀸즈힐　동굴　지하1층
95	ui	2	32	/0_OP.BIN@173736	クィーンズ・ヒールの洞窟地下２階	퀸즈힐　동굴　지하2층
96	ui	2	18	/0_OP.BIN@173780	クィーンズ・ハート	퀸즈하트
97	ui	2	18	/0_OP.BIN@173808	クィーンズ・ボーン	퀸즈본
98	ui	2	8	/0_OP.BIN@173836	忘却の森	망각의숲
99	ui	2	18	/0_OP.BIN@173864	ムルティブの塔１階	무르티브탑　1층
100	ui	2	18	/0_OP.BIN@173892	ムルティブの塔２Ｆ	무르티브탑　2층
101	ui	2	18	/0_OP.BIN@173920	ムルティブの塔３階	무르티브탑　3층
102	ui	2	16	/0_OP.BIN@173948	古代遺跡地下１階	고대유적지하1층
103	ui	2	16	/0_OP.BIN@173976	古代遺跡地下２階	고대유적지하2층
104	ui	2	16	/0_OP.BIN@174012	古代遺跡地下３階	고대유적지하3층
105	ui	2	10	/0_OP.BIN@174040	コルベの村	코르베마을
106	ui	2	8	/0_OP.BIN@174060	幽玄の森	유현의숲
107	ui	2	6	/0_OP.BIN@174088	常世塚	황천총
108	ui	2	8	/0_OP.BIN@174104	次元の扉	차원의문
109	ui	2	8	/0_OP.BIN@174124	次元の道	차원의길
110	ui	2	8	/0_OP.BIN@174144	魔城１階	마성1층
111	ui	2	8	/0_OP.BIN@174164	魔城２階	마성2층
112	ui	2	8	/0_OP.BIN@174184	魔城別館	마성별관
113	ui	2	8	/0_OP.BIN@174204	魔城３階	마성3층
114	ui	2	10	/0_OP.BIN@174224	魔城天守閣	마성천수각
115	ui	2	8	/0_OP.BIN@174244	魔城中庭	마성안뜰
116	ui	2	10	/0_OP.BIN@174264	防衛ライン	방위선
117	ui	3	6	/0_OP.BIN@174308	闘技場	투기장
118	ui	2	4	/0_OP.BIN@174340	国境	국경
119	ui	2	12	/0_OP.BIN@174380	バトラムの町	바트람　마을
120	ui	2	14	/0_OP.BIN@174404	試練の迷宮１階	시련의미궁1층
121	ui	2	18	/0_OP.BIN@174428	試練の迷宮地下１階	시련의미궁지하1층
122	ui	2	18	/0_OP.BIN@174456	試練の迷宮地下２階	시련의미궁지하2층
123	ui	2	18	/0_OP.BIN@174484	試練の迷宮地下３階	시련의미궁지하3층
124	ui	1	12	/0_OP.BIN@174606	瓠0123456789	
125	ui	1	2	/0_OP.BIN@174818	堯	
126	ui	1	9	/1_SRPG.BIN@515561	Tモei.cdt	
127	ui	1	23	/1_SRPG.BIN@516069	echＤｒａｗ　Ｇａｍｅ！	
128	ui	1	30	/1_SRPG.BIN@516096	ＮＯＮ－ＰＬＡＹＥＲ　　ターン	ＮＯＮ－ＰＬＡＹＥＲ　　턴
129	ui	1	20	/1_SRPG.BIN@516128	ＥＮＥＭＹ　　ターン	ＥＮＥＭＹ　　턴
130	ui	1	9	/1_SRPG.BIN@516149	lleＹＥＳ	
131	ui	3	8	/1_SRPG.BIN@516208	アイテム	아이템
132	ui	1	2	/1_SRPG.BIN@516256	無	무
133	ui	2	3	/1_SRPG.BIN@516272	<１	
134	ui	2	3	/1_SRPG.BIN@516280	３>	
135	ui	2	3	/1_SRPG.BIN@516284	<７	
136	ui	2	3	/1_SRPG.BIN@516292	９>	
137	ui	2	6	/1_SRPG.BIN@516300	<４>  	
138	ui	1	10	/1_SRPG.BIN@516308	装備はずす	장비　해제
139	ui	1	12	/1_SRPG.BIN@516320	アイテムなし	아이템　없음
140	ui	2	4	/1_SRPG.BIN@516336	<６>	
141	ui	1	8	/1_SRPG.BIN@516344	空っぽだ	비었다
142	ui	1	14	/1_SRPG.BIN@516356	はもう持てない	　더　못　든다
143	ui	1	12	/1_SRPG.BIN@516372	を手にいれた	　입수했다
144	ui	1	53	/1_SRPG.BIN@516400	［決定ボタン］アイテム使用\n［方向キー］　カーソル移動	［결정버튼］아이템 사용\n［방향키］　커서 이동
145	ui	1	28	/1_SRPG.BIN@516456	［方向キー］　カーソル移動\n 	［방향키］　커서 이동\n
146	ui	1	57	/1_SRPG.BIN@516488	［決定ボタン］アイテム位置移動\n［方向キー］　カーソル移動	［결정버튼］아이템 위치 이동\n［방향키］　커서 이동
147	ui	1	57	/1_SRPG.BIN@516548	［決定ボタン］アイテム位置交換\n［方向キー］　カーソル移動	［결정버튼］아이템 위치 교환\n［방향키］　커서 이동
148	ui	1	2	/1_SRPG.BIN@516608	地	지
149	ui	1	2	/1_SRPG.BIN@516612	水	수
150	ui	1	2	/1_SRPG.BIN@516616	火	화
151	ui	1	2	/1_SRPG.BIN@516620	風	풍
152	ui	1	2	/1_SRPG.BIN@516624	雷	뇌
153	ui	1	2	/1_SRPG.BIN@516628	闇	암
154	ui	1	2	/1_SRPG.BIN@516632	光	광
155	ui	1	2	/1_SRPG.BIN@516636	星	성
156	ui	1	2	/1_SRPG.BIN@516640	精	정
157	ui	1	2	/1_SRPG.BIN@516644	霊	령
158	ui	1	6	/1_SRPG.BIN@516648	虫殺し	충살자
159	ui	1	6	/1_SRPG.BIN@516656	竜殺し	용살자
160	ui	1	2	/1_SRPG.BIN@516664	＋	
161	ui	6	6	/1_SRPG.BIN@516676	攻撃力	공격력
162	ui	6	6	/1_SRPG.BIN@516684	防御力	방어력
163	ui	4	6	/1_SRPG.BIN@516692	行動力	행동력
164	ui	4	4	/1_SRPG.BIN@516700	速さ	속도
165	ui	2	8	/1_SRPG.BIN@516708	運のよさ	행운
166	ui	1	10	/1_SRPG.BIN@516720	登坂レベル	등반레벨
167	ui	2	6	/1_SRPG.BIN@516732	必殺率	필살률
168	ui	2	6	/1_SRPG.BIN@516740	命中率	명중률
169	ui	5	4	/1_SRPG.BIN@516748	賢さ	지혜
170	ui	6	6	/1_SRPG.BIN@516756	抗魔力	항마력
171	ui	3	6	/1_SRPG.BIN@516764	属性　	속성
172	ui	2	6	/1_SRPG.BIN@516772	耐性　	내성
173	ui	2	4	/1_SRPG.BIN@516788	ｱｯﾌﾟ	상승
174	ui	2	4	/1_SRPG.BIN@516796	ﾀﾞｳﾝ	하락
175	ui	1	27	/1_SRPG.BIN@516804	武                         	무
176	ui	1	27	/1_SRPG.BIN@516832	兜                         	투
177	ui	1	27	/1_SRPG.BIN@516860	鎧                         	갑
178	ui	1	27	/1_SRPG.BIN@516888	盾                         	방
179	ui	1	27	/1_SRPG.BIN@516916	補                         	보
180	ui	3	4	/1_SRPG.BIN@516944	装備	장비
181	ui	1	48	/1_SRPG.BIN@516952	装備を変更すると行動終了します。よろしいですか？	장비를　바꾸면　행동이　끝납니다.괜찮습니까?
182	ui	1	36	/1_SRPG.BIN@517020	アイテムがいっぱいです。捨てますか？	아이템이　가득　찼습니다.버릴까요?
183	ui	1	15	/1_SRPG.BIN@517148	(技Lv   +   up)	(기Lv   +   up)
184	ui	1	16	/1_SRPG.BIN@517164	ﾊﾟﾜｰ:攻撃力+   %	파워:공격력+   %
185	ui	1	6	/1_SRPG.BIN@517184	回復力	회복력
186	ui	1	10	/1_SRPG.BIN@517192	ﾊﾟﾜｰ:賢さ+	파워:지혜+
187	ui	1	11	/1_SRPG.BIN@517204	必要行動力:	필요행동력:
188	ui	1	7	/1_SRPG.BIN@517216	必要MP:	필요MP:
189	ui	1	9	/1_SRPG.BIN@517224	射程(　):	사정(　):
190	ui	1	2	/1_SRPG.BIN@517236	術	술
191	ui	1	2	/1_SRPG.BIN@517240	単	단
192	ui	1	2	/1_SRPG.BIN@517244	全	전
193	ui	1	2	/1_SRPG.BIN@517248	円	원
194	ui	1	2	/1_SRPG.BIN@517252	直	직
195	ui	1	2	/1_SRPG.BIN@517256	自	자
196	ui	1	2	/1_SRPG.BIN@517260	扇	선
197	ui	1	2	/1_SRPG.BIN@517264	弧	호
198	ui	2	8	/1_SRPG.BIN@517268	－－－－	
199	ui	3	6	/1_SRPG.BIN@517280	技選択	기술
200	ui	1	44	/1_SRPG.BIN@517288	キャラクターのレベルが低いため装備できません	캐릭터　레벨이　낮아　장비할　수　없습니다
201	ui	1	6	/1_SRPG.BIN@517344	剣の技	검술
202	ui	1	4	/1_SRPG.BIN@517352	忍道	인술
203	ui	1	10	/1_SRPG.BIN@517360	刀（ボツ）	도(미사용)
204	ui	1	4	/1_SRPG.BIN@517372	体術	체술
205	ui	1	6	/1_SRPG.BIN@517380	槍の技	창술
206	ui	1	6	/1_SRPG.BIN@517388	槌の技	망치술
207	ui	1	6	/1_SRPG.BIN@517396	弓の技	궁술
208	ui	1	6	/1_SRPG.BIN@517404	竜の技	용술
209	ui	1	8	/1_SRPG.BIN@517412	防御の技	방어술
210	ui	1	8	/1_SRPG.BIN@517424	盗みの技	도둑술
211	ui	1	8	/1_SRPG.BIN@517436	BOSS専用	BOSS전용
212	ui	1	8	/1_SRPG.BIN@517448	攻撃魔法	공격마법
213	ui	1	8	/1_SRPG.BIN@517460	神聖魔法	신성마법
214	ui	1	10	/1_SRPG.BIN@517472	回（ボツ）	회(미사용)
215	ui	3	10	/1_SRPG.BIN@517484	ステータス	스테이터스
216	ui	1	8	/1_SRPG.BIN@517496	特殊魔法	특수마법
217	ui	1	6	/1_SRPG.BIN@517508	特殊技	특수기
218	ui	1	8	/1_SRPG.BIN@517516	魔法剣技	마법검술
219	ui	1	3	/1_SRPG.BIN@517525	mＯ	
220	ui	1	14	/1_SRPG.BIN@517532	ステータス<＞>	스테이터스<＞>
221	ui	1	7	/1_SRPG.BIN@517548	 スキル	 스킬
222	ui	1	10	/1_SRPG.BIN@517556	<＜>スキル	<＜>스킬
223	ui	1	5	/1_SRPG.BIN@517628	弱点:	약점:
224	ui	2	2	/1_SRPG.BIN@517636	飛	비
225	ui	2	2	/1_SRPG.BIN@517640	透	투
226	ui	2	2	/1_SRPG.BIN@517644	眠	잠
227	ui	2	2	/1_SRPG.BIN@517648	恐	공
228	ui	2	2	/1_SRPG.BIN@517652	凍	동
229	ui	2	2	/1_SRPG.BIN@517656	痺	마
230	ui	2	2	/1_SRPG.BIN@517660	乱	혼
231	ui	2	2	/1_SRPG.BIN@517664	操	조
232	ui	2	2	/1_SRPG.BIN@517668	大	대
233	ui	2	2	/1_SRPG.BIN@517672	小	소
234	ui	2	2	/1_SRPG.BIN@517676	昇	승
235	ui	2	2	/1_SRPG.BIN@517680	低	저
236	ui	2	4	/1_SRPG.BIN@517692	幸運	행운
237	ui	2	4	/1_SRPG.BIN@517700	登坂	등반
238	ui	2	4	/1_SRPG.BIN@517716	水上	수상
239	ui	1	15	/1_SRPG.BIN@517760	回避率　     ％	회피율　     ％
240	ui	1	15	/1_SRPG.BIN@517784	必殺率　     ％	필살률　     ％
241	ui	1	18	/1_SRPG.BIN@517800	技Lv   技Exp     /	기Lv   기Exp     /
242	ui	1	14	/1_SRPG.BIN@517844	精神魔法に弱い	정신마법　약함
243	ui	1	16	/1_SRPG.BIN@517860	少し、魔法に弱い	마법에　좀　약함
244	ui	1	20	/1_SRPG.BIN@517880	ダーク系の魔法に弱い	암흑　마법에　약함
245	ui	1	4	/1_SRPG.BIN@517904	なし	없음
246	ui	1	8	/1_SRPG.BIN@517912	槍に弱い	창　약함
247	ui	1	14	/1_SRPG.BIN@517924	魔法全般に弱い	전체마법　약함
248	ui	1	8	/1_SRPG.BIN@517940	弓に弱い	활　약함
249	ui	1	12	/1_SRPG.BIN@517952	弓、槍に弱い	활,창　약함
250	ui	1	18	/1_SRPG.BIN@517968	打撃系の攻撃に弱い	타격　공격에　약함
251	ui	1	14	/1_SRPG.BIN@517988	水の魔法に弱い	물　마법　약함
252	ui	1	19	/1_SRPG.BIN@518004	 ステータス説明<＞>	 스테이터스설명<＞>
253	ui	1	16	/1_SRPG.BIN@518024	<＜>　スキル説明	<＜>　스킬　설명
254	ui	1	10	/1_SRPG.BIN@518044	（　Ａ　）	
255	ui	1	10	/1_SRPG.BIN@518056	（　Ｂ　）	
256	ui	1	10	/1_SRPG.BIN@518068	（　Ｃ　）	
257	ui	1	10	/1_SRPG.BIN@518080	（　Ｘ　）	
258	ui	1	10	/1_SRPG.BIN@518092	（　Ｙ　）	
259	ui	1	10	/1_SRPG.BIN@518104	（　Ｚ　）	
260	ui	1	10	/1_SRPG.BIN@518116	（　Ｌ　）	
261	ui	1	10	/1_SRPG.BIN@518128	（　Ｒ　）	
262	ui	1	14	/1_SRPG.BIN@518140	（ＳＴＡＲＴ）	
263	ui	1	16	/1_SRPG.BIN@518156	初期状態にもどす	초기　설정으로
264	ui	1	8	/1_SRPG.BIN@518176	操作説明	조작설명
265	ui	1	12	/1_SRPG.BIN@518188	バトルアニメ	전투　애니메
266	ui	1	14	/1_SRPG.BIN@518204	メッセージ速度	메시지　속도
267	ui	1	14	/1_SRPG.BIN@518220	オーディオ設定	오디오　설정
268	ui	1	12	/1_SRPG.BIN@518236	ＢＧＭテスト	ＢＧＭ테스트
269	ui	1	8	/1_SRPG.BIN@518252	ＳＥ設定	ＳＥ설정
270	ui	1	10	/1_SRPG.BIN@518264	ＳＥテスト	ＳＥ테스트
271	ui	1	12	/1_SRPG.BIN@518276	グリッド表示	그리드　표시
272	ui	1	16	/1_SRPG.BIN@518292	コントロール設定	컨트롤　설정
273	ui	1	16	/1_SRPG.BIN@518312	ウインドウカラー	창　색상
274	ui	1	16	/1_SRPG.BIN@518332	デバッグメニュー	디버그　메뉴
275	ui	2	10	/1_SRPG.BIN@518368	技なんでも	기술　전부
276	ui	1	4	/1_SRPG.BIN@518380	無敵	무적
277	ui	1	10	/1_SRPG.BIN@518388	経験値獲得	경험치획득
278	ui	1	45	/1_SRPG.BIN@518400	アイテム　[<＜>-][<＞>＋]押しながら決定ボタン	아이템　[<＜>-][<＞>＋]누른채　결정버튼
279	ui	1	45	/1_SRPG.BIN@518448	金　　　　[<＜>-][<＞>＋]押しながら決定ボタン	돈　　　　[<＜>-][<＞>＋]누른채　결정버튼
280	ui	2	6	/1_SRPG.BIN@518496	セーブ	세이브
281	ui	1	14	/1_SRPG.BIN@518504	マップチェンジ	맵　체인지
282	ui	1	25	/1_SRPG.BIN@518524	現在マップ[    ]  X     Y	현재 맵   [    ]  X     Y
283	ui	1	10	/1_SRPG.BIN@518552	獲得ＥＸＰ	획득ＥＸＰ
284	ui	1	10	/1_SRPG.BIN@518564	獲得ジェム	획득　젬
285	ui	3	10	/1_SRPG.BIN@518576	オプション	옵션
286	ui	1	8	/1_SRPG.BIN@518600	デバッグ	디버그
287	ui	1	12	/1_SRPG.BIN@518632	－－無効－－	－－무효－－
