#번호	종류	자리수	예산	예시위치	JP	KO
0	data	1	21	/1_SRPG.BIN@543892	ｽﾄﾗｲｸ	
1	data	1	21	/1_SRPG.BIN@543944	ｱﾄﾞｽﾄﾗｲｸ	
2	data	1	21	/1_SRPG.BIN@543996	ﾊｰﾄﾞｸﾗｯｼｭ	
3	data	1	21	/1_SRPG.BIN@544048	ｸﾗｯｼｭ	
4	data	1	21	/1_SRPG.BIN@544152	ﾍﾋﾞｰｽﾄﾗｲｸ	
5	data	1	21	/1_SRPG.BIN@544204	ﾊﾞｽﾀｸﾗｯｼｭ	
6	data	1	21	/1_SRPG.BIN@544256	ﾒｶﾞｽﾗｯｼｭ	
7	data	1	21	/1_SRPG.BIN@544308	剣の舞い	
8	data	1	21	/1_SRPG.BIN@544412	ﾎｰﾘｰｿｰﾄﾞ	
9	data	1	21	/1_SRPG.BIN@544464	ﾌﾚｲﾑｿｰﾄﾞ	
10	data	1	21	/1_SRPG.BIN@544516	ｱｲｽｿｰﾄﾞ	
11	data	1	21	/1_SRPG.BIN@544568	ﾄﾞﾚｲﾝｿｰﾄﾞ	
12	data	1	21	/1_SRPG.BIN@544620	ﾌﾟﾗｽﾞﾏｿｰﾄﾞ	
13	data	1	21	/1_SRPG.BIN@544672	ｿｳﾙｷﾙｿｰﾄﾞ	
14	data	1	21	/1_SRPG.BIN@544880	斬る	
15	data	1	21	/1_SRPG.BIN@544932	居合い	
16	data	1	21	/1_SRPG.BIN@544984	円空斬	
17	data	1	21	/1_SRPG.BIN@545036	稲妻斬り	
18	data	1	21	/1_SRPG.BIN@545088	流影斬	
19	data	1	21	/1_SRPG.BIN@545140	御霊返し	
20	data	1	21	/1_SRPG.BIN@545192	烈風斬	
21	data	1	21	/1_SRPG.BIN@545244	空裂斬	
22	data	1	21	/1_SRPG.BIN@545296	鳳凰剣	
23	data	1	21	/1_SRPG.BIN@545400	影縫い	
24	data	1	21	/1_SRPG.BIN@545452	手裏剣	
25	data	1	21	/1_SRPG.BIN@545504	いづな落し	
26	data	1	21	/1_SRPG.BIN@545556	忍舞い	
27	data	1	21	/1_SRPG.BIN@545608	遠当て術	
28	data	1	21	/1_SRPG.BIN@545660	卍手裏剣	
29	data	1	21	/1_SRPG.BIN@545712	ボツ！変移抜刀	
30	data	1	21	/1_SRPG.BIN@545764	卍忍舞い	
31	data	1	21	/1_SRPG.BIN@546336	打拳	
32	data	1	21	/1_SRPG.BIN@546388	連脚	
33	data	1	21	/1_SRPG.BIN@546440	ｺﾝﾋﾞﾈｰｼｮﾝ	
34	data	1	21	/1_SRPG.BIN@546492	ﾊｰﾄﾞﾊﾟﾝﾁ	
35	data	1	21	/1_SRPG.BIN@546544	投げ	
36	data	1	21	/1_SRPG.BIN@546596	ｼﾞｬﾝﾌﾟ	
37	data	1	21	/1_SRPG.BIN@546700	旋風脚	
38	data	1	21	/1_SRPG.BIN@546752	ﾄｰﾈｲﾄﾞﾊﾟﾝﾁ	
39	data	1	21	/1_SRPG.BIN@546804	ﾍﾞｱﾊｯｸﾞ	
40	data	1	21	/1_SRPG.BIN@546856	斬岩脚	
41	data	1	21	/1_SRPG.BIN@546908	地裂拳	
42	data	1	21	/1_SRPG.BIN@546960	山嵐(投げ)	
43	data	1	21	/1_SRPG.BIN@547012	百裂拳	
44	data	1	21	/1_SRPG.BIN@547064	ﾊﾘｹｰﾝﾊﾟﾝﾁ	
45	data	1	21	/1_SRPG.BIN@547116	殴る	
46	data	1	21	/1_SRPG.BIN@547168	体当たり	
47	data	1	21	/1_SRPG.BIN@547220	ｷﾙｸﾛｰ	
48	data	1	21	/1_SRPG.BIN@547272	ｷﾗｰﾌｧﾝｸﾞ	
49	data	1	21	/1_SRPG.BIN@547324	ﾃﾞｽｸﾗｯｼｬｰ	
50	data	1	21	/1_SRPG.BIN@547376	暗黒舞踏	
51	data	1	21	/1_SRPG.BIN@547428	ﾜｲﾙﾄﾞﾊﾟﾝﾁ	
52	data	1	21	/1_SRPG.BIN@547480	ﾅｯﾂｽﾛｰ	
53	data	1	21	/1_SRPG.BIN@547584	刺槍	
54	data	1	21	/1_SRPG.BIN@547636	痛刺槍	
55	data	1	21	/1_SRPG.BIN@547688	槍風車	
56	data	1	21	/1_SRPG.BIN@547740	轟斬槍風車	
57	data	1	21	/1_SRPG.BIN@547792	轟刺槍	
58	data	1	21	/1_SRPG.BIN@547844	流星閃光槍	
59	data	1	21	/1_SRPG.BIN@547896	爆裂槍風車	
60	data	1	21	/1_SRPG.BIN@548104	ﾊﾝﾏｽﾄﾗｲｸ	
61	data	1	21	/1_SRPG.BIN@548156	ｽﾋﾟﾝﾊﾝﾏｰ	
62	data	1	21	/1_SRPG.BIN@548208	ﾊﾝﾏｰﾌﾞﾚｲｸ	
63	data	1	21	/1_SRPG.BIN@548260	ｸｴｲｸﾊﾝﾏｰ	
64	data	1	21	/1_SRPG.BIN@548312	ﾊﾝﾏｰﾎﾞﾑ	
65	data	1	21	/1_SRPG.BIN@548520	ｱﾛｰｼｮｯﾄ	
66	data	1	21	/1_SRPG.BIN@548572	ｽﾊﾟｲﾗﾙｱﾛｰ	
67	data	1	21	/1_SRPG.BIN@548624	ﾏﾙﾁｼｮｯﾄ	
68	data	1	21	/1_SRPG.BIN@548676	ﾛﾝｸﾞｼｮｯﾄ 	
69	data	1	21	/1_SRPG.BIN@548728	ｲﾅｽﾞﾏｼｮｯﾄ	
70	data	1	21	/1_SRPG.BIN@548780	ﾏﾙﾁﾛｰﾘﾝｸﾞ	
71	data	1	21	/1_SRPG.BIN@548832	ｵﾒｶﾞｱﾛｰ	
72	data	1	21	/1_SRPG.BIN@549040	竜変化	
73	data	1	21	/1_SRPG.BIN@549092	ｳｨﾝﾄﾞ	
74	data	1	21	/1_SRPG.BIN@549144	ｿﾆｯｸﾎﾞｲｽ	
75	data	1	21	/1_SRPG.BIN@549196	ﾃｲﾙｳｲﾝﾄﾞ	
76	data	1	21	/1_SRPG.BIN@549248	ｽﾄｰﾑ	
77	data	1	21	/1_SRPG.BIN@549300	ﾄﾞﾗｺﾞﾝﾌﾞﾚｽ	
78	data	1	21	/1_SRPG.BIN@549352	ｱｰｸﾌﾞﾚｽ	
79	data	1	21	/1_SRPG.BIN@549404	ﾃﾞｽﾌﾞﾚｽ	
80	data	1	21	/1_SRPG.BIN@549560	防御	
81	data	1	21	/1_SRPG.BIN@549612	かばう	
82	data	1	21	/1_SRPG.BIN@549664	ｶｳﾝﾀｰ	
83	data	1	21	/1_SRPG.BIN@549716	受け流し	
84	data	1	21	/1_SRPG.BIN@549768	ﾊﾟﾜｰ吸収	
85	data	1	21	/1_SRPG.BIN@549820	神速回避	
86	data	1	21	/1_SRPG.BIN@549872	弾き返し	
87	data	1	21	/1_SRPG.BIN@549924	魔法障壁	
88	data	1	21	/1_SRPG.BIN@550080	金を盗む	
89	data	1	21	/1_SRPG.BIN@550132	技を盗む	
90	data	1	21	/1_SRPG.BIN@550184	ｱｲﾃﾑ盗む	
91	data	1	21	/1_SRPG.BIN@550236	ＨＰ盗む	
92	data	1	21	/1_SRPG.BIN@550288	ＭＰ盗む	
93	data	1	20	/1_SRPG.BIN@550444	冥王剣	
94	data	1	20	/1_SRPG.BIN@550496	魔空剣	
95	data	1	20	/1_SRPG.BIN@550600	ｶﾞｽ	
96	data	1	20	/1_SRPG.BIN@550652	しびれ	
97	data	1	20	/1_SRPG.BIN@550704	電撃	
98	data	1	20	/1_SRPG.BIN@550756	大地の歌	
99	data	1	20	/1_SRPG.BIN@550808	ﾃﾗｰﾎﾞｲｽ	
100	data	2	15	/1_SRPG.BIN@550860	ボツ！	
101	data	1	20	/1_SRPG.BIN@550912	吹き飛ばし	
102	data	1	20	/1_SRPG.BIN@550964	溶解液	
103	data	1	15	/1_SRPG.BIN@551120	ﾌｧｲｱﾎﾞｰﾙ	
104	data	1	15	/1_SRPG.BIN@551172	ﾊﾞｰｽﾄﾌｧｲｱ	
105	data	1	15	/1_SRPG.BIN@551224	ﾍﾙｽﾞﾌｧｲｱ	
106	data	1	15	/1_SRPG.BIN@551276	ｻﾝﾀﾞｰ	
107	data	1	15	/1_SRPG.BIN@551328	ｻﾝﾀﾞｰｽﾄｰﾑ	
108	data	1	15	/1_SRPG.BIN@551380	ﾌﾘｰｼﾞﾝｸﾞ	
109	data	1	15	/1_SRPG.BIN@551432	ﾌﾘｰｽﾞｱﾛｰ	
110	data	1	15	/1_SRPG.BIN@551484	ﾌﾘｰｽﾞｽﾄｰﾑ	
111	data	1	15	/1_SRPG.BIN@551536	地龍波	
112	data	1	15	/1_SRPG.BIN@551588	ﾒﾃｵｽﾄﾗｲｸ	
113	data	1	15	/1_SRPG.BIN@551640	ｸﾞﾗﾋﾞﾃｨﾌﾟﾚｽ	
114	data	1	15	/1_SRPG.BIN@551692	ｼﾞｬｼﾞﾒﾝﾄ	
115	data	1	15	/1_SRPG.BIN@551744	魔風	
116	data	1	15	/1_SRPG.BIN@551796	地龍大波	
117	data	1	21	/1_SRPG.BIN@551952	ﾗｸﾞﾅﾚｸ	
118	data	1	21	/1_SRPG.BIN@552004	ﾚｲﾌｫｰｽ	
119	data	1	21	/1_SRPG.BIN@552108	ﾃﾞｽ	
120	data	1	21	/1_SRPG.BIN@552160	死の舞い	
121	data	1	21	/1_SRPG.BIN@552212	ﾌﾞﾗｯｸｻﾊﾞｽ	
122	data	1	21	/1_SRPG.BIN@552264	裁きの光	
123	data	1	21	/1_SRPG.BIN@552316	ﾃﾞｯﾄﾛｰ	
124	data	1	21	/1_SRPG.BIN@552680	ﾎｰﾘｰｷｭｱ	
125	data	1	21	/1_SRPG.BIN@552732	ﾎｰﾘｰﾚｲ	
126	data	1	21	/1_SRPG.BIN@552784	ﾎｰﾘｰｱｰｸ	
127	data	1	21	/1_SRPG.BIN@552836	ﾘﾊﾞｰｽｷｭｱ	
128	data	1	21	/1_SRPG.BIN@552940	ﾋｰﾘﾝｸﾞ	
129	data	1	21	/1_SRPG.BIN@552992	ｵﾒｶﾞﾋｰﾘﾝｸﾞ	
130	data	1	21	/1_SRPG.BIN@553044	ﾒｶﾞﾋｰﾘﾝｸﾞ	
131	data	1	21	/1_SRPG.BIN@553096	ｷﾞｶﾞﾋｰﾘﾝｸﾞ	
132	data	1	21	/1_SRPG.BIN@553148	ｱｰｸﾋｰﾘﾝｸﾞ	
133	data	1	21	/1_SRPG.BIN@553304	ｿｳﾙﾌﾞﾚｲｸ	
134	data	1	21	/1_SRPG.BIN@553356	くぐつ	
135	data	1	21	/1_SRPG.BIN@553408	魅了	
136	data	1	21	/1_SRPG.BIN@553460	ｽﾘｰﾌﾟ	
137	data	1	21	/1_SRPG.BIN@553512	ﾃﾗｰ	
138	data	1	21	/1_SRPG.BIN@553564	ﾊﾟﾆｯｸ	
