#번호	종류	자리수	예산	예시위치	JP	KO
0	msg	1	76	/AWRD.ADV@44	宿敵ゲンユウサイはもう目の前です。準備をととのえて城の攻略にのぞみましょう。	
1	msg	3	73	/BT00.ADV@44	勝負は２０ターン以内につけなければなりません。\n気をぬかずに戦いましょう。	
2	msg	1	97	/DB00.ADV@44	この町には、ウデにおぼえのある冒険者が集まる試練の迷宮があります。\nあなた方もいどんでみませんか？	
3	msg	9	87	/DB10.ADV@44	これは、本来のあなた方の冒険の目的とは関わりのないものです。\n私もあえて助言はしません。	
4	msg	1	65	/DC00.ADV@44	敵の大物は、城の上階にいるようです。\nまずは２階をめざしましょう。	
5	msg	3	85	/DC0B.ADV@52	つらいでしょうが、いまは耐えるのです。\nそれから、城の兵士には、くれぐれも気をつけて。	
6	msg	3	85	/DC0B.ADV@140	看守のすきをついて仲間を助け出せませんか？\n辺りの様子をよく調べてみるといいでしょう。	
7	msg	3	59	/DC0B.ADV@228	もう迷う必要はないでしょう。\n後は牢のカギを開けるだけです。	
8	msg	1	72	/DC10.ADV@44	敵の大物は、城の上階にいるようです。北東の階段から２階に向かいましょう。	
9	msg	1	68	/DC2C.ADV@44	敵のボスを倒せば、このドラグーン城を取りもどすことができるでしょう。	
10	msg	4	127	/DRGN.ADV@60	ナイトバードと連絡がとれないようですね。\nしばらく各地を回ってから、またクィーンズランド西部にある町を訪ねてはいかがでしょうか？	
11	msg	4	99	/DRGN.ADV@188	あなた方の力になってくれる仲間が、まだどこかにいるはずです。\n世界各地を旅してみてはいかがでしょう？	
12	msg	4	96	/DRGN.ADV@288	クィーンズランド国の湖にうかぶ島に、城へもぐりこめるどうくつがあると教わったのではないのですか？	
13	msg	1	106	/DRGN.ADV@388	ゲンユウサイを追って、ミディ国東部にある幽玄の森へ向かうのでしょう？上空から森に降りる方法を考えましょう。	
14	msg	4	94	/DRGN.ADV@496	討つべき敵は、カカルクランにいます。用件がすみしだい、水晶を使ってもどられた方がよいでしょう。	
15	msg	2	95	/DW00.ADV@44	たしかにあやしげな森です。\n冒険に関わらずとも、１度くらい様子を見ておくのもいいかも知れません。	
16	msg	2	85	/DW0B.ADV@44	この森から、邪悪な気の流出を感じます。\nどうやら、カカルクランとの接点があるようです。	
17	msg	6	88	/DZ00.ADV@44	こういったところでは、人の話に耳をかたむけたり、買い物をしたりして冒険に役立てましょう。	
18	msg	4	62	/EC00.ADV@44	不意の敵襲ですが、落ちついて対処すれば切りぬけられるはずです。	
19	msg	2	66	/GC00.ADV@48	仲間の行方も心配でしょうが、いまは先へ進むことだけを考えましょう。	
20	msg	2	115	/GC00.ADV@116	たとえ少しの間とは言え、ともに旅をした仲間と戦うのはつらいことでしょう。\nでも、先へ進むには彼を倒すしかありません。	
21	msg	1	97	/GC2B.ADV@44	あなたの進むべき道は、母の幻が示してくれます。\nあなたをおしつぶそうとする闇をおそれないで・・・。	
22	msg	1	91	/GC30.ADV@44	ゲンユウサイのもとへたどり着くための、最後の難関です。\n彼らを倒せば、道は開かれるでしょう。	
23	msg	1	117	/GC70.ADV@44	あなた方が追い求めてきた宿敵との戦いです。\n冥王ゲンユウサイをほろぼさぬかぎり、ここから出ることはかなわないでしょう。	
24	msg	1	76	/GC80.ADV@44	後ろをかえりみる余裕などないはず。生き残りたくば、ひたすら南へ逃げるのです。	
25	msg	1	52	/ITEMHELP.MSG@952	どなたかお一人のＨＰを１００回復することができます。	
26	msg	1	52	/ITEMHELP.MSG@1008	どなたかお一人のＨＰを５００回復することができます。	
27	msg	1	52	/ITEMHELP.MSG@1064	どなたかお一人のＨＰを完全に回復することができます。	
28	msg	1	50	/ITEMHELP.MSG@1120	どなたかお一人のＭＰを５０回復することができます。	
29	msg	1	52	/ITEMHELP.MSG@1172	どなたかお一人のＭＰを２００回復することができます。	
30	msg	1	52	/ITEMHELP.MSG@1228	どなたかお一人のＭＰを５００回復することができます。	
31	msg	1	72	/ITEMHELP.MSG@1284	どなたかお一人のＨＰとＭＰを最大値の半分の量だけ回復することができます。	
32	msg	1	58	/ITEMHELP.MSG@1360	どなたかお一人のＨＰとＭＰを完全に回復することができます。	
33	msg	1	56	/ITEMHELP.MSG@1420	どなたかお一人のステータス異常を回復することができます。	
34	msg	1	84	/ITEMHELP.MSG@1480	戦闘時に使用できる爆弾です。投げられる範囲とダメージを与えられる範囲は小さい方です。	
35	msg	1	84	/ITEMHELP.MSG@1568	戦闘時に使用できる爆弾です。投げられる範囲とダメージを与えられる範囲は中くらいです。	
36	msg	1	88	/ITEMHELP.MSG@1656	戦闘時に使用できる爆弾です。投げられる範囲とダメージを与えられる範囲は最も優れています。	
37	msg	1	96	/ITEMHELP.MSG@1748	このアイテムは呪われているようです。早く手ばなさないと、必ずやあなた方に災いをもたらすでしょう。	
38	msg	1	82	/ITEMHELP.MSG@1848	いまのあなた方に必要なアイテムとは思えません。お金にかえてしまうのがいいでしょう。	
39	msg	1	88	/ITEMHELP.MSG@1932	あなた方には必要ないでしょう。お店の方なら、このアイテムの価値を見定めてくれるでしょう。	
40	msg	1	92	/ITEMHELP.MSG@2024	高価な宝石ですが、いまのあなた方には特に必要ないでしょう。お店の方に見せてみてはどうですか。	
41	msg	1	78	/ITEMHELP.MSG@2120	東方でしか見られない、めずらしい宝石です。お店の方に見せてみるといいでしょう。	
42	msg	1	78	/ITEMHELP.MSG@2208	これを身につけていると戦闘中にあなたのそばに敵がよりつかなくなることでしょう。	
43	msg	1	70	/ITEMHELP.MSG@2296	お守りの一種です。これを身につけていると会心の一撃がでやすくなります。	
44	msg	1	76	/ITEMHELP.MSG@2368	お守りの一種です。これを身につけていると会心の一撃がとてもでやすくなります。	
45	msg	1	78	/ITEMHELP.MSG@2448	お守りの一種です。これを身につけている方に幸運をもたらしてくれることでしょう。	
46	msg	1	72	/ITEMHELP.MSG@2528	これを身につけていると風のようなすばやさで動き回ることができるでしょう。	
47	msg	1	70	/ITEMHELP.MSG@2604	これを身につけていると光のようにすばやく動き回ることができるでしょう。	
