#번호	파일	예산	JP
0	/PF_21.PRF	122	２つの頭をもつ鳥です。強力なツメと口から出す溶解液には注意が必要です。上空の敵に対しては、弓が有効な武器となるでしょう。\n
1	/PF_22.PRF	123	トカゲに似た\nモンスターで、その怪力と頑強な皮フには苦戦を強いられることになるでしょう。\n魔法に対する力は弱いようです。\n<EOF>
2	/PF_23.PRF	135	とぼけた外見に似合わず、強力な魔法を唱えてくるモンスターです。\nその分、打たれ弱いので、武器で即座に倒してしまうのが\nいいでしょう。\n<EOF>
3	/PF_24.PRF	127	邪悪な力を吹き込まれて世によみがえった死せる騎士です。\n神聖系魔法か、あるいは霊体に直接攻撃できる武器を有効に使いましょう。\n<EOF>
4	/PF_25.PRF	132	ひとつの観念に固執するあまり、逆に精神をのっとられてしまった哀れな男の末路です。彼が死んでも、その思想が絶えることはないでしょう。\n
5	/PF_26.PRF	113	空中から襲いかかる強力なくちばしと、相手の心を惑わせる力には、十分な注意が必要です。\n弓を有効に使いましょう。\n<EOF>
6	/PF_27.PRF	111	実に油断のならないモンスターで、攻撃と動きの素早さ、そして相手の攻撃を見切って反撃に転じる技をもっています。\n<EOF>
7	/PF_28.PRF	87	姿を消して目標に忍びよる、恐ろしいモンスターです。\n魔法を使った戦い方が有効でしょう。<EOF>
8	/PF_29.PRF	120	その体から電気を発生させる巨大なトカゲです。打撃力もあなどりがたいので、離れたところから魔法で攻撃するとよいでしょう。\n
9	/PF_30.PRF	103	不可思議な力を持つモンスターです。\n矢つぎ早やにくり出される魔法に、いかに対処するかが問題でしょう。\n<EOF>
10	/PF_31.PRF	127	昆虫を巨大化したような外見をもつモンスターです。「ワームキラー」と呼ばれる剣を用いれば、戦闘をより有利に進められるでしょう。\n<EOF>
11	/PF_32.PRF	127	おそろしい死の魔法をあやつるゴーストです。魔法や霊体に効力のある武器で攻撃しない限り、ダメージを与える事ができないでしょう。\n<EOF>
12	/PF_33.PRF	129	容姿にまどわされがちですが、ひじょうに危険なゴーストです。\n魔法や霊体に効力のある武器がないと立ち向かうことは不可能でしょう。\n<EOF>
