#번호	종류	자리수	예산	예시위치	JP	KO
0	skill	1	21	/1_SRPG.BIN@543892	ｽﾄﾗｲｸ	
1	skill	1	21	/1_SRPG.BIN@543944	ｱﾄﾞｽﾄﾗｲｸ	
2	skill	1	21	/1_SRPG.BIN@543996	ﾊｰﾄﾞｸﾗｯｼｭ	
3	skill	1	21	/1_SRPG.BIN@544048	ｸﾗｯｼｭ	
4	skill	1	21	/1_SRPG.BIN@544100	Jｽﾄﾗｲｸ	
5	skill	1	21	/1_SRPG.BIN@544152	ﾍﾋﾞｰｽﾄﾗｲｸ	
6	skill	1	21	/1_SRPG.BIN@544204	ﾊﾞｽﾀｸﾗｯｼｭ	
7	skill	1	21	/1_SRPG.BIN@544256	ﾒｶﾞｽﾗｯｼｭ	
8	skill	1	21	/1_SRPG.BIN@544308	剣の舞い	
9	skill	1	21	/1_SRPG.BIN@544412	ﾎｰﾘｰｿｰﾄﾞ	
10	skill	1	21	/1_SRPG.BIN@544464	ﾌﾚｲﾑｿｰﾄﾞ	
11	skill	1	21	/1_SRPG.BIN@544516	ｱｲｽｿｰﾄﾞ	
12	skill	1	21	/1_SRPG.BIN@544568	ﾄﾞﾚｲﾝｿｰﾄﾞ	
13	skill	1	21	/1_SRPG.BIN@544620	ﾌﾟﾗｽﾞﾏｿｰﾄﾞ	
14	skill	1	21	/1_SRPG.BIN@544672	ｿｳﾙｷﾙｿｰﾄﾞ	
15	skill	1	21	/1_SRPG.BIN@544880	斬る	
16	skill	1	21	/1_SRPG.BIN@544932	居合い	
17	skill	1	21	/1_SRPG.BIN@544984	円空斬	
18	skill	1	21	/1_SRPG.BIN@545036	稲妻斬り	
19	skill	1	21	/1_SRPG.BIN@545088	流影斬	
20	skill	1	21	/1_SRPG.BIN@545140	御霊返し	
21	skill	1	21	/1_SRPG.BIN@545192	烈風斬	
22	skill	1	21	/1_SRPG.BIN@545244	空裂斬	
23	skill	1	21	/1_SRPG.BIN@545296	鳳凰剣	
24	skill	1	21	/1_SRPG.BIN@545400	影縫い	
25	skill	1	21	/1_SRPG.BIN@545452	手裏剣	
26	skill	1	21	/1_SRPG.BIN@545504	いづな落し	
27	skill	1	21	/1_SRPG.BIN@545556	忍舞い	
28	skill	1	21	/1_SRPG.BIN@545608	遠当て術	
29	skill	1	21	/1_SRPG.BIN@545660	卍手裏剣	
30	skill	1	21	/1_SRPG.BIN@545712	ボツ！変移抜刀	
31	skill	1	21	/1_SRPG.BIN@545764	卍忍舞い	
32	skill	1	21	/1_SRPG.BIN@546336	打拳	
33	skill	1	21	/1_SRPG.BIN@546388	連脚	
34	skill	1	21	/1_SRPG.BIN@546440	ｺﾝﾋﾞﾈｰｼｮﾝ	
35	skill	1	21	/1_SRPG.BIN@546492	ﾊｰﾄﾞﾊﾟﾝﾁ	
36	skill	1	21	/1_SRPG.BIN@546544	投げ	
37	skill	1	21	/1_SRPG.BIN@546596	ｼﾞｬﾝﾌﾟ	
38	skill	1	21	/1_SRPG.BIN@546700	旋風脚	
39	skill	1	21	/1_SRPG.BIN@546752	ﾄｰﾈｲﾄﾞﾊﾟﾝﾁ	
40	skill	1	21	/1_SRPG.BIN@546804	ﾍﾞｱﾊｯｸﾞ	
41	skill	1	21	/1_SRPG.BIN@546856	斬岩脚	
42	skill	1	21	/1_SRPG.BIN@546908	地裂拳	
43	skill	1	21	/1_SRPG.BIN@546960	山嵐(投げ)	
44	skill	1	21	/1_SRPG.BIN@547012	百裂拳	
45	skill	1	21	/1_SRPG.BIN@547064	ﾊﾘｹｰﾝﾊﾟﾝﾁ	
46	skill	1	21	/1_SRPG.BIN@547116	殴る	
47	skill	1	21	/1_SRPG.BIN@547168	体当たり	
48	skill	1	21	/1_SRPG.BIN@547220	ｷﾙｸﾛｰ	
49	skill	1	21	/1_SRPG.BIN@547272	ｷﾗｰﾌｧﾝｸﾞ	
50	skill	1	21	/1_SRPG.BIN@547324	ﾃﾞｽｸﾗｯｼｬｰ	
51	skill	1	21	/1_SRPG.BIN@547376	暗黒舞踏	
52	skill	1	21	/1_SRPG.BIN@547428	ﾜｲﾙﾄﾞﾊﾟﾝﾁ	
53	skill	1	21	/1_SRPG.BIN@547480	ﾅｯﾂｽﾛｰ	
54	skill	1	21	/1_SRPG.BIN@547584	刺槍	
55	skill	1	21	/1_SRPG.BIN@547636	痛刺槍	
56	skill	1	21	/1_SRPG.BIN@547688	槍風車	
57	skill	1	21	/1_SRPG.BIN@547740	轟斬槍風車	
58	skill	1	21	/1_SRPG.BIN@547792	轟刺槍	
59	skill	1	21	/1_SRPG.BIN@547844	流星閃光槍	
60	skill	1	21	/1_SRPG.BIN@547896	爆裂槍風車	
61	skill	1	21	/1_SRPG.BIN@548104	ﾊﾝﾏｽﾄﾗｲｸ	
62	skill	1	21	/1_SRPG.BIN@548156	ｽﾋﾟﾝﾊﾝﾏｰ	
63	skill	1	21	/1_SRPG.BIN@548208	ﾊﾝﾏｰﾌﾞﾚｲｸ	
64	skill	1	21	/1_SRPG.BIN@548260	ｸｴｲｸﾊﾝﾏｰ	
65	skill	1	21	/1_SRPG.BIN@548312	ﾊﾝﾏｰﾎﾞﾑ	
66	skill	1	21	/1_SRPG.BIN@548520	ｱﾛｰｼｮｯﾄ	
67	skill	1	21	/1_SRPG.BIN@548572	ｽﾊﾟｲﾗﾙｱﾛｰ	
68	skill	1	21	/1_SRPG.BIN@548624	ﾏﾙﾁｼｮｯﾄ	
69	skill	1	21	/1_SRPG.BIN@548676	ﾛﾝｸﾞｼｮｯﾄ 	
70	skill	1	21	/1_SRPG.BIN@548728	ｲﾅｽﾞﾏｼｮｯﾄ	
71	skill	1	21	/1_SRPG.BIN@548780	ﾏﾙﾁﾛｰﾘﾝｸﾞ	
72	skill	1	21	/1_SRPG.BIN@548832	ｵﾒｶﾞｱﾛｰ	
73	skill	1	21	/1_SRPG.BIN@549040	竜変化	
74	skill	1	21	/1_SRPG.BIN@549092	ｳｨﾝﾄﾞ	
75	skill	1	21	/1_SRPG.BIN@549144	ｿﾆｯｸﾎﾞｲｽ	
76	skill	1	21	/1_SRPG.BIN@549196	ﾃｲﾙｳｲﾝﾄﾞ	
77	skill	1	21	/1_SRPG.BIN@549248	ｽﾄｰﾑ	
78	skill	1	21	/1_SRPG.BIN@549300	ﾄﾞﾗｺﾞﾝﾌﾞﾚｽ	
79	skill	1	21	/1_SRPG.BIN@549352	ｱｰｸﾌﾞﾚｽ	
80	skill	1	21	/1_SRPG.BIN@549404	ﾃﾞｽﾌﾞﾚｽ	
81	skill	1	21	/1_SRPG.BIN@549560	防御	
82	skill	1	21	/1_SRPG.BIN@549612	かばう	
83	skill	1	21	/1_SRPG.BIN@549664	ｶｳﾝﾀｰ	
84	skill	1	21	/1_SRPG.BIN@549716	受け流し	
85	skill	1	21	/1_SRPG.BIN@549768	ﾊﾟﾜｰ吸収	
86	skill	1	21	/1_SRPG.BIN@549820	神速回避	
87	skill	1	21	/1_SRPG.BIN@549872	弾き返し	
88	skill	1	21	/1_SRPG.BIN@549924	魔法障壁	
89	skill	1	21	/1_SRPG.BIN@550080	金を盗む	
90	skill	1	21	/1_SRPG.BIN@550132	技を盗む	
91	skill	1	21	/1_SRPG.BIN@550184	ｱｲﾃﾑ盗む	
92	skill	1	21	/1_SRPG.BIN@550236	ＨＰ盗む	
93	skill	1	21	/1_SRPG.BIN@550288	ＭＰ盗む	
94	skill	1	21	/1_SRPG.BIN@550444	冥王剣	
95	skill	1	21	/1_SRPG.BIN@550496	魔空剣	
96	skill	1	21	/1_SRPG.BIN@550600	ｶﾞｽ	
97	skill	1	21	/1_SRPG.BIN@550652	しびれ	
98	skill	1	21	/1_SRPG.BIN@550704	電撃	
99	skill	1	21	/1_SRPG.BIN@550756	大地の歌	
100	skill	1	21	/1_SRPG.BIN@550808	ﾃﾗｰﾎﾞｲｽ	
101	skill	2	21	/1_SRPG.BIN@550860	ボツ！	
102	skill	1	21	/1_SRPG.BIN@550912	吹き飛ばし	
103	skill	1	21	/1_SRPG.BIN@550964	溶解液	
104	skill	1	21	/1_SRPG.BIN@551120	ﾌｧｲｱﾎﾞｰﾙ	
105	skill	1	21	/1_SRPG.BIN@551172	ﾊﾞｰｽﾄﾌｧｲｱ	
106	skill	1	21	/1_SRPG.BIN@551224	ﾍﾙｽﾞﾌｧｲｱ	
107	skill	1	21	/1_SRPG.BIN@551276	ｻﾝﾀﾞｰ	
108	skill	1	21	/1_SRPG.BIN@551328	ｻﾝﾀﾞｰｽﾄｰﾑ	
109	skill	1	21	/1_SRPG.BIN@551380	ﾌﾘｰｼﾞﾝｸﾞ	
110	skill	1	21	/1_SRPG.BIN@551432	ﾌﾘｰｽﾞｱﾛｰ	
111	skill	1	21	/1_SRPG.BIN@551484	ﾌﾘｰｽﾞｽﾄｰﾑ	
112	skill	1	21	/1_SRPG.BIN@551536	地龍波	
113	skill	1	21	/1_SRPG.BIN@551588	ﾒﾃｵｽﾄﾗｲｸ	
114	skill	1	21	/1_SRPG.BIN@551640	ｸﾞﾗﾋﾞﾃｨﾌﾟﾚｽ	
115	skill	1	21	/1_SRPG.BIN@551692	ｼﾞｬｼﾞﾒﾝﾄ	
116	skill	1	21	/1_SRPG.BIN@551744	魔風	
117	skill	1	21	/1_SRPG.BIN@551796	地龍大波	
118	skill	1	21	/1_SRPG.BIN@551952	ﾗｸﾞﾅﾚｸ	
119	skill	1	21	/1_SRPG.BIN@552004	ﾚｲﾌｫｰｽ	
120	skill	1	21	/1_SRPG.BIN@552108	ﾃﾞｽ	
121	skill	1	21	/1_SRPG.BIN@552160	死の舞い	
122	skill	1	21	/1_SRPG.BIN@552212	ﾌﾞﾗｯｸｻﾊﾞｽ	
123	skill	1	21	/1_SRPG.BIN@552264	裁きの光	
124	skill	1	21	/1_SRPG.BIN@552316	ﾃﾞｯﾄﾛｰ	
125	skill	1	21	/1_SRPG.BIN@552680	ﾎｰﾘｰｷｭｱ	
126	skill	1	21	/1_SRPG.BIN@552732	ﾎｰﾘｰﾚｲ	
127	skill	1	21	/1_SRPG.BIN@552784	ﾎｰﾘｰｱｰｸ	
128	skill	1	21	/1_SRPG.BIN@552836	ﾘﾊﾞｰｽｷｭｱ	
129	skill	1	21	/1_SRPG.BIN@552940	ﾋｰﾘﾝｸﾞ	
130	skill	1	21	/1_SRPG.BIN@552992	ｵﾒｶﾞﾋｰﾘﾝｸﾞ	
131	skill	1	21	/1_SRPG.BIN@553044	ﾒｶﾞﾋｰﾘﾝｸﾞ	
132	skill	1	21	/1_SRPG.BIN@553096	ｷﾞｶﾞﾋｰﾘﾝｸﾞ	
133	skill	1	21	/1_SRPG.BIN@553148	ｱｰｸﾋｰﾘﾝｸﾞ	
134	skill	1	21	/1_SRPG.BIN@553304	ｿｳﾙﾌﾞﾚｲｸ	
