#번호	종류	자리수	예산	예시위치	JP	KO
0	ui	1	6	/0_OP.BIN@170478	tlR萵l	
1	ui	1	12	/0_OP.BIN@170814	ｱhtitle2.mat	
2	ui	2	12	/0_OP.BIN@170832	ＹＥＳ／ＮＯ	
3	ui	6	6	/0_OP.BIN@170848	ＹＥＳ	
4	ui	7	4	/0_OP.BIN@170856	ＮＯ	
5	ui	1	52	/0_OP.BIN@170864	本体ＲＡＭのバックアップの準備がまだできていません。	
6	ui	1	34	/0_OP.BIN@170920	本体ＲＡＭの全ての記録を消します。	
7	ui	1	24	/0_OP.BIN@170956	　　よろしいですか？　　	
8	ui	1	36	/0_OP.BIN@170984	初期化中です。しばらくお待ち下さい。	
9	ui	1	119	/0_OP.BIN@171024	本体ＲＡＭの全ての記録を消すことができませんでした。\nセガサターン本体の保存データ管理画面で全ての記録を消してください。	
10	ui	1	36	/0_OP.BIN@171144	本体ＲＡＭの全ての記録を消しました。	
11	ui	1	106	/0_OP.BIN@171184	ＬボタンまたはＲボタンを押したままリセットボタンを押すと、セガサターン本体の保存データ管理画面へ進みます。	
12	ui	1	60	/0_OP.BIN@171292	カートリッジＲＡＭのバックアップの準備がまだできていません。	
13	ui	1	42	/0_OP.BIN@171356	カートリッジＲＡＭの全ての記録を消します。	
14	ui	1	127	/0_OP.BIN@171400	カートリッジＲＡＭの全ての記録を消すことができませんでした。\nセガサターン本体の保存データ管理画面で全ての記録を消してください。	
15	ui	1	44	/0_OP.BIN@171528	カートリッジＲＡＭの全ての記録を消しました。	
16	ui	1	333	/0_OP.BIN@171576	新しい記録を保存するための空き容量がありません。\nこのままゲームをスタートした場合、前の記録を消さない限り新しい記録を保存することはできません。\n新しい記録を保存するためには１１５の空き容量が必要です。\nセガサターン本体の保存データ管理画面で他のゲームの記録を消すか、またはカートリッジＲＡＭにコピーして、ゲームを再スタートして下さい。	
17	ui	1	94	/0_OP.BIN@171912	ＬボタンまたはＲボタンを押しながら、リセットボタンを押すと、保存データ管理画面が表示されます。	
18	ui	2	4	/0_OP.BIN@172068	ＬＶ	
19	ui	2	14	/0_OP.BIN@172076	　　　　：　　	
20	ui	2	14	/0_OP.BIN@172092	　　－－：－－	
21	ui	2	10	/0_OP.BIN@172108	データなし	
22	ui	3	4	/0_OP.BIN@172120	<＜>	
23	ui	2	14	/0_OP.BIN@172128	［本体ＲＡＭ］	
24	ui	2	22	/0_OP.BIN@172144	［カートリッジＲＡＭ］	
25	ui	4	4	/0_OP.BIN@172168	<＞>	
26	ui	5	2	/0_OP.BIN@172256	０	
27	ui	6	2	/0_OP.BIN@172260	１	
28	ui	8	2	/0_OP.BIN@172264	２	
29	ui	6	2	/0_OP.BIN@172268	３	
30	ui	6	2	/0_OP.BIN@172272	４	
31	ui	6	2	/0_OP.BIN@172276	５	
32	ui	6	2	/0_OP.BIN@172280	６	
33	ui	6	2	/0_OP.BIN@172284	７	
34	ui	8	2	/0_OP.BIN@172288	８	
35	ui	6	2	/0_OP.BIN@172292	９	
36	ui	3	2	/0_OP.BIN@172296	剣	
37	ui	3	2	/0_OP.BIN@172300	刀	
38	ui	3	2	/0_OP.BIN@172304	槍	
39	ui	3	2	/0_OP.BIN@172308	槌	
40	ui	3	2	/0_OP.BIN@172312	弓	
41	ui	3	2	/0_OP.BIN@172316	兜	
42	ui	3	2	/0_OP.BIN@172320	鎧	
43	ui	3	2	/0_OP.BIN@172324	盾	
44	ui	3	2	/0_OP.BIN@172328	飾	
45	ui	2	2	/0_OP.BIN@172332	＜	
46	ui	2	2	/0_OP.BIN@172336	＞	
47	ui	2	12	/0_OP.BIN@172340	見つからない	
48	ui	1	5	/0_OP.BIN@172353	itl０	
49	ui	1	2	/0_OP.BIN@172396	Ａ	
50	ui	1	2	/0_OP.BIN@172400	Ｂ	
51	ui	1	2	/0_OP.BIN@172404	Ｃ	
52	ui	1	2	/0_OP.BIN@172408	Ｄ	
53	ui	1	2	/0_OP.BIN@172412	Ｅ	
54	ui	1	2	/0_OP.BIN@172416	Ｆ	
55	ui	1	2	/0_OP.BIN@172420	－	
56	ui	1	1	/0_OP.BIN@172535	ｵ	
57	ui	2	2	/0_OP.BIN@172538	痞	
58	ui	2	2	/0_OP.BIN@172546	痊	
59	ui	2	2	/0_OP.BIN@172550	疳	
60	ui	2	2	/0_OP.BIN@172554	畫	
61	ui	2	2	/0_OP.BIN@172558	瓠	
62	ui	42	1	/0_OP.BIN@172562	ﾀ	
63	ui	8	2	/0_OP.BIN@172574	痾	
64	ui	2	32	/0_OP.BIN@172672	クィーンズランド国ワールドマップ	
65	ui	2	26	/0_OP.BIN@172716	ドラグーン国ワールドマップ	
66	ui	2	22	/0_OP.BIN@172752	ミディ国ワールドマップ	
67	ui	2	24	/0_OP.BIN@172784	ロッサム国ワールドマップ	
68	ui	2	4	/0_OP.BIN@172836	海上	
69	ui	2	20	/0_OP.BIN@172860	異世界ワールドマップ	
70	ui	2	8	/0_OP.BIN@172900	戦霊の森	
71	ui	2	20	/0_OP.BIN@172928	ドラグーン城地下１階	
72	ui	2	16	/0_OP.BIN@172960	ドラグーン城１階	
73	ui	2	16	/0_OP.BIN@172988	ドラグーン城２階	
74	ui	2	10	/0_OP.BIN@173048	ザルマの都	
75	ui	2	8	/0_OP.BIN@173084	サモサ島	
76	ui	2	10	/0_OP.BIN@173104	ジャングル	
77	ui	2	18	/0_OP.BIN@173124	ガルーダ号係留地点	
78	ui	2	12	/0_OP.BIN@173160	邪教の館１階	
79	ui	2	16	/0_OP.BIN@173184	邪教の館地下１階	
80	ui	2	16	/0_OP.BIN@173212	邪教の館地下２階	
81	ui	2	12	/0_OP.BIN@173240	ナティスの村	
82	ui	2	12	/0_OP.BIN@173264	港町オルトマ	
83	ui	2	8	/0_OP.BIN@173304	古戦場跡	
84	ui	2	8	/0_OP.BIN@173324	迷いの森	
85	ui	2	10	/0_OP.BIN@173344	森のはずれ	
86	ui	2	32	/0_OP.BIN@173364	クィーンズランド・パレス地下１階	
87	ui	2	28	/0_OP.BIN@173416	クィーンズランド・パレス１階	
88	ui	2	28	/0_OP.BIN@173472	クィーンズランド・パレス２階	
89	ui	2	22	/0_OP.BIN@173512	クィーンズ・パレス２階	
90	ui	2	22	/0_OP.BIN@173544	クィーンズ・ノーズ山麓	
91	ui	2	22	/0_OP.BIN@173576	クィーンズ・ノーズ山頂	
92	ui	2	32	/0_OP.BIN@173608	クィーンズ・リップス川周辺警備網	
93	ui	2	30	/0_OP.BIN@173652	クィーンズ・リップス川のほとり	
94	ui	2	32	/0_OP.BIN@173692	クィーンズ・ヒールの洞窟地下１階	
95	ui	2	32	/0_OP.BIN@173736	クィーンズ・ヒールの洞窟地下２階	
96	ui	2	18	/0_OP.BIN@173780	クィーンズ・ハート	
97	ui	2	18	/0_OP.BIN@173808	クィーンズ・ボーン	
98	ui	2	8	/0_OP.BIN@173836	忘却の森	
99	ui	2	18	/0_OP.BIN@173864	ムルティブの塔１階	
100	ui	2	18	/0_OP.BIN@173892	ムルティブの塔２Ｆ	
101	ui	2	18	/0_OP.BIN@173920	ムルティブの塔３階	
102	ui	2	16	/0_OP.BIN@173948	古代遺跡地下１階	
103	ui	2	16	/0_OP.BIN@173976	古代遺跡地下２階	
104	ui	2	16	/0_OP.BIN@174012	古代遺跡地下３階	
105	ui	2	10	/0_OP.BIN@174040	コルベの村	
106	ui	2	8	/0_OP.BIN@174060	幽玄の森	
107	ui	2	6	/0_OP.BIN@174088	常世塚	
108	ui	2	8	/0_OP.BIN@174104	次元の扉	
109	ui	2	8	/0_OP.BIN@174124	次元の道	
110	ui	2	8	/0_OP.BIN@174144	魔城１階	
111	ui	2	8	/0_OP.BIN@174164	魔城２階	
112	ui	2	8	/0_OP.BIN@174184	魔城別館	
113	ui	2	8	/0_OP.BIN@174204	魔城３階	
114	ui	2	10	/0_OP.BIN@174224	魔城天守閣	
115	ui	2	8	/0_OP.BIN@174244	魔城中庭	
116	ui	2	10	/0_OP.BIN@174264	防衛ライン	
117	ui	3	6	/0_OP.BIN@174308	闘技場	
118	ui	2	4	/0_OP.BIN@174340	国境	
119	ui	2	12	/0_OP.BIN@174380	バトラムの町	
120	ui	2	14	/0_OP.BIN@174404	試練の迷宮１階	
121	ui	2	18	/0_OP.BIN@174428	試練の迷宮地下１階	
122	ui	2	18	/0_OP.BIN@174456	試練の迷宮地下２階	
123	ui	2	18	/0_OP.BIN@174484	試練の迷宮地下３階	
124	ui	1	12	/0_OP.BIN@174606	瓠0123456789	
125	ui	1	2	/0_OP.BIN@174818	堯	
126	ui	1	9	/1_SRPG.BIN@515561	Tモei.cdt	
127	ui	1	23	/1_SRPG.BIN@516069	echＤｒａｗ　Ｇａｍｅ！	
128	ui	1	30	/1_SRPG.BIN@516096	ＮＯＮ－ＰＬＡＹＥＲ　　ターン	
129	ui	1	20	/1_SRPG.BIN@516128	ＥＮＥＭＹ　　ターン	
130	ui	1	9	/1_SRPG.BIN@516149	lleＹＥＳ	
131	ui	3	8	/1_SRPG.BIN@516208	アイテム	
132	ui	1	2	/1_SRPG.BIN@516256	無	
133	ui	2	3	/1_SRPG.BIN@516272	<１	
134	ui	2	3	/1_SRPG.BIN@516280	３>	
135	ui	2	3	/1_SRPG.BIN@516284	<７	
136	ui	2	3	/1_SRPG.BIN@516292	９>	
137	ui	2	6	/1_SRPG.BIN@516300	<４>  	
138	ui	1	10	/1_SRPG.BIN@516308	装備はずす	
139	ui	1	12	/1_SRPG.BIN@516320	アイテムなし	
140	ui	2	4	/1_SRPG.BIN@516336	<６>	
141	ui	1	8	/1_SRPG.BIN@516344	空っぽだ	
142	ui	1	14	/1_SRPG.BIN@516356	はもう持てない	
143	ui	1	12	/1_SRPG.BIN@516372	を手にいれた	
144	ui	1	53	/1_SRPG.BIN@516400	［決定ボタン］アイテム使用\n［方向キー］　カーソル移動	
145	ui	1	28	/1_SRPG.BIN@516456	［方向キー］　カーソル移動\n 	
146	ui	1	57	/1_SRPG.BIN@516488	［決定ボタン］アイテム位置移動\n［方向キー］　カーソル移動	
147	ui	1	57	/1_SRPG.BIN@516548	［決定ボタン］アイテム位置交換\n［方向キー］　カーソル移動	
148	ui	1	2	/1_SRPG.BIN@516608	地	
149	ui	1	2	/1_SRPG.BIN@516612	水	
150	ui	1	2	/1_SRPG.BIN@516616	火	
151	ui	1	2	/1_SRPG.BIN@516620	風	
152	ui	1	2	/1_SRPG.BIN@516624	雷	
153	ui	1	2	/1_SRPG.BIN@516628	闇	
154	ui	1	2	/1_SRPG.BIN@516632	光	
155	ui	1	2	/1_SRPG.BIN@516636	星	
156	ui	1	2	/1_SRPG.BIN@516640	精	
157	ui	1	2	/1_SRPG.BIN@516644	霊	
158	ui	1	6	/1_SRPG.BIN@516648	虫殺し	
159	ui	1	6	/1_SRPG.BIN@516656	竜殺し	
160	ui	1	2	/1_SRPG.BIN@516664	＋	
161	ui	6	6	/1_SRPG.BIN@516676	攻撃力	
162	ui	6	6	/1_SRPG.BIN@516684	防御力	
163	ui	4	6	/1_SRPG.BIN@516692	行動力	
164	ui	4	4	/1_SRPG.BIN@516700	速さ	
165	ui	2	8	/1_SRPG.BIN@516708	運のよさ	
166	ui	1	10	/1_SRPG.BIN@516720	登坂レベル	
167	ui	2	6	/1_SRPG.BIN@516732	必殺率	
168	ui	2	6	/1_SRPG.BIN@516740	命中率	
169	ui	5	4	/1_SRPG.BIN@516748	賢さ	
170	ui	6	6	/1_SRPG.BIN@516756	抗魔力	
171	ui	3	6	/1_SRPG.BIN@516764	属性　	
172	ui	2	6	/1_SRPG.BIN@516772	耐性　	
173	ui	2	4	/1_SRPG.BIN@516788	ｱｯﾌﾟ	
174	ui	2	4	/1_SRPG.BIN@516796	ﾀﾞｳﾝ	
175	ui	1	27	/1_SRPG.BIN@516804	武                         	
176	ui	1	27	/1_SRPG.BIN@516832	兜                         	
177	ui	1	27	/1_SRPG.BIN@516860	鎧                         	
178	ui	1	27	/1_SRPG.BIN@516888	盾                         	
179	ui	1	27	/1_SRPG.BIN@516916	補                         	
180	ui	3	4	/1_SRPG.BIN@516944	装備	
181	ui	1	48	/1_SRPG.BIN@516952	装備を変更すると行動終了します。よろしいですか？	
182	ui	1	36	/1_SRPG.BIN@517020	アイテムがいっぱいです。捨てますか？	
183	ui	1	15	/1_SRPG.BIN@517148	(技Lv   +   up)	
184	ui	1	16	/1_SRPG.BIN@517164	ﾊﾟﾜｰ:攻撃力+   %	
185	ui	1	6	/1_SRPG.BIN@517184	回復力	
186	ui	1	10	/1_SRPG.BIN@517192	ﾊﾟﾜｰ:賢さ+	
187	ui	1	11	/1_SRPG.BIN@517204	必要行動力:	
188	ui	1	7	/1_SRPG.BIN@517216	必要MP:	
189	ui	1	9	/1_SRPG.BIN@517224	射程(　):	
190	ui	1	2	/1_SRPG.BIN@517236	術	
191	ui	1	2	/1_SRPG.BIN@517240	単	
192	ui	1	2	/1_SRPG.BIN@517244	全	
193	ui	1	2	/1_SRPG.BIN@517248	円	
194	ui	1	2	/1_SRPG.BIN@517252	直	
195	ui	1	2	/1_SRPG.BIN@517256	自	
196	ui	1	2	/1_SRPG.BIN@517260	扇	
197	ui	1	2	/1_SRPG.BIN@517264	弧	
198	ui	2	8	/1_SRPG.BIN@517268	－－－－	
199	ui	3	6	/1_SRPG.BIN@517280	技選択	
200	ui	1	44	/1_SRPG.BIN@517288	キャラクターのレベルが低いため装備できません	
201	ui	1	6	/1_SRPG.BIN@517344	剣の技	
202	ui	1	4	/1_SRPG.BIN@517352	忍道	
203	ui	1	10	/1_SRPG.BIN@517360	刀（ボツ）	
204	ui	1	4	/1_SRPG.BIN@517372	体術	
205	ui	1	6	/1_SRPG.BIN@517380	槍の技	
206	ui	1	6	/1_SRPG.BIN@517388	槌の技	
207	ui	1	6	/1_SRPG.BIN@517396	弓の技	
208	ui	1	6	/1_SRPG.BIN@517404	竜の技	
209	ui	1	8	/1_SRPG.BIN@517412	防御の技	
210	ui	1	8	/1_SRPG.BIN@517424	盗みの技	
211	ui	1	8	/1_SRPG.BIN@517436	BOSS専用	
212	ui	1	8	/1_SRPG.BIN@517448	攻撃魔法	
213	ui	1	8	/1_SRPG.BIN@517460	神聖魔法	
214	ui	1	10	/1_SRPG.BIN@517472	回（ボツ）	
215	ui	3	10	/1_SRPG.BIN@517484	ステータス	
216	ui	1	8	/1_SRPG.BIN@517496	特殊魔法	
217	ui	1	6	/1_SRPG.BIN@517508	特殊技	
218	ui	1	8	/1_SRPG.BIN@517516	魔法剣技	
219	ui	1	3	/1_SRPG.BIN@517525	mＯ	
220	ui	1	14	/1_SRPG.BIN@517532	ステータス<＞>	
221	ui	1	7	/1_SRPG.BIN@517548	 スキル	
222	ui	1	10	/1_SRPG.BIN@517556	<＜>スキル	
223	ui	1	5	/1_SRPG.BIN@517628	弱点:	
224	ui	2	2	/1_SRPG.BIN@517636	飛	
225	ui	2	2	/1_SRPG.BIN@517640	透	
226	ui	2	2	/1_SRPG.BIN@517644	眠	
227	ui	2	2	/1_SRPG.BIN@517648	恐	
228	ui	2	2	/1_SRPG.BIN@517652	凍	
229	ui	2	2	/1_SRPG.BIN@517656	痺	
230	ui	2	2	/1_SRPG.BIN@517660	乱	
231	ui	2	2	/1_SRPG.BIN@517664	操	
232	ui	2	2	/1_SRPG.BIN@517668	大	
233	ui	2	2	/1_SRPG.BIN@517672	小	
234	ui	2	2	/1_SRPG.BIN@517676	昇	
235	ui	2	2	/1_SRPG.BIN@517680	低	
236	ui	2	4	/1_SRPG.BIN@517692	幸運	
237	ui	2	4	/1_SRPG.BIN@517700	登坂	
238	ui	2	4	/1_SRPG.BIN@517716	水上	
239	ui	1	15	/1_SRPG.BIN@517760	回避率　     ％	
240	ui	1	15	/1_SRPG.BIN@517784	必殺率　     ％	
241	ui	1	18	/1_SRPG.BIN@517800	技Lv   技Exp     /	
242	ui	1	14	/1_SRPG.BIN@517844	精神魔法に弱い	
243	ui	1	16	/1_SRPG.BIN@517860	少し、魔法に弱い	
244	ui	1	20	/1_SRPG.BIN@517880	ダーク系の魔法に弱い	
245	ui	1	4	/1_SRPG.BIN@517904	なし	
246	ui	1	8	/1_SRPG.BIN@517912	槍に弱い	
247	ui	1	14	/1_SRPG.BIN@517924	魔法全般に弱い	
248	ui	1	8	/1_SRPG.BIN@517940	弓に弱い	
249	ui	1	12	/1_SRPG.BIN@517952	弓、槍に弱い	
250	ui	1	18	/1_SRPG.BIN@517968	打撃系の攻撃に弱い	
251	ui	1	14	/1_SRPG.BIN@517988	水の魔法に弱い	
252	ui	1	19	/1_SRPG.BIN@518004	 ステータス説明<＞>	
253	ui	1	16	/1_SRPG.BIN@518024	<＜>　スキル説明	
254	ui	1	10	/1_SRPG.BIN@518044	（　Ａ　）	
255	ui	1	10	/1_SRPG.BIN@518056	（　Ｂ　）	
256	ui	1	10	/1_SRPG.BIN@518068	（　Ｃ　）	
257	ui	1	10	/1_SRPG.BIN@518080	（　Ｘ　）	
258	ui	1	10	/1_SRPG.BIN@518092	（　Ｙ　）	
259	ui	1	10	/1_SRPG.BIN@518104	（　Ｚ　）	
260	ui	1	10	/1_SRPG.BIN@518116	（　Ｌ　）	
261	ui	1	10	/1_SRPG.BIN@518128	（　Ｒ　）	
262	ui	1	14	/1_SRPG.BIN@518140	（ＳＴＡＲＴ）	
263	ui	1	16	/1_SRPG.BIN@518156	初期状態にもどす	
264	ui	1	8	/1_SRPG.BIN@518176	操作説明	
265	ui	1	12	/1_SRPG.BIN@518188	バトルアニメ	
266	ui	1	14	/1_SRPG.BIN@518204	メッセージ速度	
267	ui	1	14	/1_SRPG.BIN@518220	オーディオ設定	
268	ui	1	12	/1_SRPG.BIN@518236	ＢＧＭテスト	
269	ui	1	8	/1_SRPG.BIN@518252	ＳＥ設定	
270	ui	1	10	/1_SRPG.BIN@518264	ＳＥテスト	
271	ui	1	12	/1_SRPG.BIN@518276	グリッド表示	
272	ui	1	16	/1_SRPG.BIN@518292	コントロール設定	
273	ui	1	16	/1_SRPG.BIN@518312	ウインドウカラー	
274	ui	1	16	/1_SRPG.BIN@518332	デバッグメニュー	
275	ui	2	10	/1_SRPG.BIN@518368	技なんでも	
276	ui	1	4	/1_SRPG.BIN@518380	無敵	
277	ui	1	10	/1_SRPG.BIN@518388	経験値獲得	
278	ui	1	45	/1_SRPG.BIN@518400	アイテム　[<＜>-][<＞>＋]押しながら決定ボタン	
279	ui	1	45	/1_SRPG.BIN@518448	金　　　　[<＜>-][<＞>＋]押しながら決定ボタン	
280	ui	2	6	/1_SRPG.BIN@518496	セーブ	
281	ui	1	14	/1_SRPG.BIN@518504	マップチェンジ	
282	ui	1	25	/1_SRPG.BIN@518524	現在マップ[    ]  X     Y	
283	ui	1	10	/1_SRPG.BIN@518552	獲得ＥＸＰ	
284	ui	1	10	/1_SRPG.BIN@518564	獲得ジェム	
285	ui	3	10	/1_SRPG.BIN@518576	オプション	
286	ui	1	8	/1_SRPG.BIN@518600	デバッグ	
287	ui	1	12	/1_SRPG.BIN@518632	－－無効－－	
288	ui	1	12	/1_SRPG.BIN@518648	　　決定　　	
289	ui	1	12	/1_SRPG.BIN@518664	 キャンセル 	
290	ui	1	12	/1_SRPG.BIN@518680	 順送り選択 	
291	ui	1	12	/1_SRPG.BIN@518696	 逆送り選択 	
292	ui	1	12	/1_SRPG.BIN@518712	 上視点切替 	
293	ui	1	12	/1_SRPG.BIN@518728	 横視点切替 	
294	ui	1	12	/1_SRPG.BIN@518744	水平視点切替	
295	ui	1	12	/1_SRPG.BIN@518760	　特殊機能　	
296	ui	1	12	/1_SRPG.BIN@518776	　デバッグ　	
297	ui	1	6	/1_SRPG.BIN@518792	ＯＦＦ	
298	ui	1	4	/1_SRPG.BIN@518800	ＯＮ	
299	ui	1	4	/1_SRPG.BIN@518812	遅い	
300	ui	1	4	/1_SRPG.BIN@518820	普通	
301	ui	1	4	/1_SRPG.BIN@518828	速い	
302	ui	1	4	/1_SRPG.BIN@518836	最速	
303	ui	1	8	/1_SRPG.BIN@518844	モノラル	
304	ui	1	8	/1_SRPG.BIN@518856	ステレオ	
305	ui	1	15	/1_SRPG.BIN@518868	　 ＯＦＦ <＞> 	
306	ui	1	15	/1_SRPG.BIN@518884	 <＜>　ＯＮ　　	
307	ui	1	28	/1_SRPG.BIN@518900	<＜>操作説明（バトル中）<＞>	
308	ui	1	30	/1_SRPG.BIN@518932	<＜>操作説明（ワールド中）<＞>	
309	ui	1	30	/1_SRPG.BIN@518964	<＜>操作説明（メニュー中）<＞>	
310	ui	1	26	/1_SRPG.BIN@518996	<＜>操作説明（飛行中）<＞>	
311	ui	1	3	/1_SRPG.BIN@519023	紿P	
312	ui	1	8	/1_SRPG.BIN@519056	名前変更	
313	ui	2	8	/1_SRPG.BIN@519096	個人情報	
314	ui	2	10	/1_SRPG.BIN@519108	キャラ一覧	
315	ui	2	8	/1_SRPG.BIN@519120	人物紹介	
316	ui	1	4	/1_SRPG.BIN@519132	相談	
317	ui	1	6	/1_SRPG.BIN@519160	ロード	
318	ui	3	6	/1_SRPG.BIN@519168	所持金	
319	ui	2	10	/1_SRPG.BIN@519176	全体マップ	
320	ui	1	16	/1_SRPG.BIN@519188	敵があらわれた！	
321	ui	1	160	/1_SRPG.BIN@519208	クィーンズランド女王国の王子です。\n男子であったことから宮廷では不遇を受けたようですが、いまでは立派な救国の戦士として成長しました。\n決断力の弱さが気になります。	
322	ui	1	141	/1_SRPG.BIN@519372	東方よりゲンユウサイとともに、この地におもむいてきた忍者戦士です。\n戦士としての能力もさることながら、式神をあやつる特殊な能力をもっています。	
323	ui	1	145	/1_SRPG.BIN@519516	クィーンズランドの宮廷に仕えていた僧侶で国を追われた王子とともに、ゲンユウサイをたおす旅をつづけています。\nさまざまな魔法が使いこなせるようです。	
324	ui	1	170	/1_SRPG.BIN@519664	もと軍人としてクィーンズランド宮廷に仕え退役後は王子の教育係をつとめていました。\n王子の成長を願う心で彼に勝る者はいないでしょう。\n弓の技術はいまだ衰えを知らないようです。	
325	ui	1	167	/1_SRPG.BIN@519840	シシの頭をもつ獣人の戦士です。王子の旅に同行していますが、その目的・正体ともに明らかではありません。\n戦場では、前衛に立てる大きな戦力として、みなの信頼を集めています。	
326	ui	1	132	/1_SRPG.BIN@520008	%s1に従うことを命じられた異界の住人“式神”です。\nもっとも当人の自覚はよわいようです。弓をあつかえるほか、魔法の心得もあるようです。	
327	ui	1	163	/1_SRPG.BIN@520144	%s1に従う\n“式神”です。つばさがありますが、空中にうきあがることができるという程度のもので、高くは飛び上がれないようです。\n刀や特殊な術を用いた戦いを得意とします。	
328	ui	1	156	/1_SRPG.BIN@520308	クイーンズノーズに住む“雲海の賢者”です。\n鈍重なイメージそのままに、つねにゆったりと行動しています。\n武器をきらうかわりに各種の魔法が使いこなせるようです。	
